,science,name,birth_place,death_place,birth_date,death_date,age,works,link
0,Антропологи,Сергей Николаевич Абашин,Москва СССР,,1965-04-21,,54.0,51,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D1%88%D0%B8%D0%BD,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
1,Антропологи,Светлана Борисовна Адоньева,РСФСР Ленинград СССР,,1963-02-14,,56.0,21,"https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D0%BE%D0%BD%D1%8C%D0%B5%D0%B2%D0%B0,_%D0%A1%D0%B2%D0%B5%D1%82%D0%BB%D0%B0%D0%BD%D0%B0_%D0%91%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2%D0%BD%D0%B0"
2,Антропологи,Раиса Михайловна Алейник,СССР,,1947-04-15,,72.0,54,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D0%B9%D0%BD%D0%B8%D0%BA,_%D0%A0%D0%B0%D0%B8%D1%81%D0%B0_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%BD%D0%B0"
3,Антропологи,Валерий Павлович Алексеев,Москва,Москва,1929-08-22,1991,62.0,20,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2,_%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D0%B8%D0%B9_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
4,Антропологи,Джулио Анджони,Гуазила Сардиния Италия,Кальяри Италия,1939-10-28,2017-01-12,77.0,12,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D0%B6%D0%BE%D0%BD%D0%B8,_%D0%94%D0%B6%D1%83%D0%BB%D0%B8%D0%BE"
5,Антропологи,Сергей Александрович Арутюнов,Грузинская ССР Тбилиси,,1932,,88.0,17,"https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%83%D1%82%D1%8E%D0%BD%D0%BE%D0%B2,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
6,Антропологи,Константин Леонардович Банников,Новосибирск СССР РСФСР,,1969-09-16,,50.0,41,"https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2,_%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B0%D1%80%D0%B4%D0%BE%D0%B2%D0%B8%D1%87"
7,Антропологи,Рой Франклин Бартон,Иллинойс США Hill,Чикаго Иллинойс США,1883-02-25,1947-04-19,64.0,0,"https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%80%D1%82%D0%BE%D0%BD,_%D0%A0%D0%BE%D0%B9_%D0%A4%D1%80%D0%B0%D0%BD%D0%BA%D0%BB%D0%B8%D0%BD"
8,Антропологи,Рэй Бердвистел,Огайо США Цинциннати,Brigantine Нью-Джерси Brigantine,1918-09-28,1994-10-19,76.0,14,"https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D1%80%D0%B4%D0%B2%D0%B8%D1%81%D1%82%D0%B5%D0%BB,_%D0%A0%D1%8D%D0%B9"
9,Антропологи,Анатолий Петрович Богданов,Воронежская Нижнедевицкий уезд губерния,Москва,1834,1896,62.0,21,"https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%B3%D0%B4%D0%B0%D0%BD%D0%BE%D0%B2,_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D0%B8%D0%B9_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
10,Антропологи,Анри Брёйль,Франция Мортен Нижняя Авранш Манш Нормандия,Л’Иль-Адам,1877-02-28,1961-08-14,84.0,0,"https://ru.wikipedia.org/wiki/%D0%91%D1%80%D1%91%D0%B9%D0%BB%D1%8C,_%D0%90%D0%BD%D1%80%D0%B8"
11,Антропологи,Александра Петровна Бужилова,Молдавская ССР Кишинёв СССР,,1960,,60.0,10,"https://ru.wikipedia.org/wiki/%D0%91%D1%83%D0%B6%D0%B8%D0%BB%D0%BE%D0%B2%D0%B0,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%B0_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%BD%D0%B0"
12,Антропологи,"Вейденрейх, Франц",Эденкобен,США Нью-Йорк,1873-06-07,1948-07-11,75.0,10,"https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%B9%D0%B4%D0%B5%D0%BD%D1%80%D0%B5%D0%B9%D1%85,_%D0%A4%D1%80%D0%B0%D0%BD%D1%86"
13,Антропологи,Эдвард Вестермарк,ВКФ Гельсингфорс,Финляндия Тенхола,1862-11-20,1939-09-03,76.0,9,"https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D1%81%D1%82%D0%B5%D1%80%D0%BC%D0%B0%D1%80%D0%BA,_%D0%AD%D0%B4%D0%B2%D0%B0%D1%80%D0%B4"
14,Антропологи,Борис Николаевич Вишневский,Губерния империя Ковенская Российская Шавли,Черновцы РСФСР ССР Украинская,1891-06-13,1965-01-26,73.0,41,"https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D1%88%D0%BD%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
15,Антропологи,Михаил Васильевич Волоцкой,Ярославская Ростов губерния,Москва,1893-04-25,1944,51.0,0,"https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%BB%D0%BE%D1%86%D0%BA%D0%BE%D0%B9,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
