,science,name,birth_place,death_place,birth_date,death_date,works,link
0,Астрономы,Виктор Кузьмич Абалакин,Украинская СССР Одесса ССР,США Нью-Йорк,1930-08-27,2018-04-23,2,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D0%BB%D0%B0%D0%BA%D0%B8%D0%BD,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80_%D0%9A%D1%83%D0%B7%D1%8C%D0%BC%D0%B8%D1%87"
1,Астрономы,Аббас Васим Эфенди,Турция Бурса,Стамбул Турция,1689,1760,0,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B1%D0%B0%D1%81_%D0%92%D0%B0%D1%81%D0%B8%D0%BC_%D0%AD%D1%84%D0%B5%D0%BD%D0%B4%D0%B8
2,Астрономы,Эрнст Карл Аббе,Айзенах Германский союз Саксен-Веймар-Эйзенах,Германская Йена империя Саксен-Веймар-Эйзенах,1840-01-23,1905-01-14,7,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B1%D0%B5,_%D0%AD%D1%80%D0%BD%D1%81%D1%82"
3,Астрономы,Чарлз Грили Аббот,Хиллсборо США,Вашингтон США,1872-05-31,1973-12-17,1,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B1%D0%BE%D1%82,_%D0%A7%D0%B0%D1%80%D0%BB%D0%B7_%D0%93%D1%80%D0%B8%D0%BB%D0%B8"
4,Астрономы,Абд аль-Вахид,Иран Мешхед,Кютахья Турция,,1434,0,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4_%D0%B0%D0%BB%D1%8C-%D0%92%D0%B0%D1%85%D0%B8%D0%B4
5,Астрономы,Илья Соломонович Абельман,Империя Российская Витебская Динабург губерния,Империя Литва Российская Вильна Вильнюс,1866,1898,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B5%D0%BB%D1%8C%D0%BC%D0%B0%D0%BD,_%D0%98%D0%BB%D1%8C%D1%8F_%D0%A1%D0%BE%D0%BB%D0%BE%D0%BC%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
6,Астрономы,Антонио Абетти,(итал.) Словения Пьетро-ди-Горициа русск. (итал.) (итал.)русск. Италия,Италия Флоренции Арчетри,1846-06-19,1928-02-20,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B5%D1%82%D1%82%D0%B8,_%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%B8%D0%BE"
7,Астрономы,Джорджо Абетти,Италия Падуя,Флоренция Италия,1882,1982-08-24,4,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B5%D1%82%D1%82%D0%B8,_%D0%94%D0%B6%D0%BE%D1%80%D0%B4%D0%B6%D0%BE"
8,Астрономы,Егор Иванович Абросимов,Империя Российская,Санкт-Петербург империя Российская,,1810,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%BE%D1%81%D0%B8%D0%BC%D0%BE%D0%B2,_%D0%95%D0%B3%D0%BE%D1%80_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
9,Астрономы,Абу Джафар ибн Хаббаш,,,,,0,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%83_%D0%94%D0%B6%D0%B0%D1%84%D0%B0%D1%80_%D0%B8%D0%B1%D0%BD_%D0%A5%D0%B0%D0%B1%D0%B0%D1%88
