,science,name,birth_place,death_place,birth_date,death_date,age,works,link
0,Ветеринары,Аббас Айдын оглы Аббасов,ССР Кировабад Азербайджанская СССР,,1949-08-04,,70.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B1%D0%B0%D1%81%D0%BE%D0%B2,_%D0%90%D0%B1%D0%B1%D0%B0%D1%81_%D0%90%D0%B9%D0%B4%D1%8B%D0%BD_%D0%BE%D0%B3%D0%BB%D1%8B"
1,Ветеринары,Адалберт Антонов,Царство Болгарское Третье Лажене,Царство София Третье Болгарское,1909-12-10,1942-12-04,32.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2,_%D0%90%D0%B4%D0%B0%D0%BB%D0%B1%D0%B5%D1%80%D1%82"
2,Ветеринары,Владимир Михайлович Болдырев,Губерния уезд империя Пензенская Российская Саранский,Россия Уфа,1915-05-27,1998-03-10,82.0,0,"https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%BB%D0%B4%D1%8B%D1%80%D0%B5%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
3,Ветеринары,Николай Михайлович Власов,Нижегородская Починки область,Москва СССР,1891-05-10,1954-06-02,63.0,0,"https://ru.wikipedia.org/wiki/%D0%92%D0%BB%D0%B0%D1%81%D0%BE%D0%B2,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
4,Ветеринары,Виктор Евграфович Воронцов,,,1844,1900,56.0,0,"https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D1%80%D0%BE%D0%BD%D1%86%D0%BE%D0%B2,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80_%D0%95%D0%B2%D0%B3%D1%80%D0%B0%D1%84%D0%BE%D0%B2%D0%B8%D1%87"
5,Ветеринары,Всеволод Иванович Всеволодов,Губерния уезд империя Костромская Нерехтский Российская,Российская Санкт-Петербург империя,1790,1863,73.0,0,"https://ru.wikipedia.org/wiki/%D0%92%D1%81%D0%B5%D0%B2%D0%BE%D0%BB%D0%BE%D0%B4%D0%BE%D0%B2,_%D0%92%D1%81%D0%B5%D0%B2%D0%BE%D0%BB%D0%BE%D0%B4_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
6,Ветеринары,"Гаупт, Василий Васильевич (врач)",,,,,,0,"https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D1%83%D0%BF%D1%82,_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D0%B8%D0%B9_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87_(%D0%B2%D1%80%D0%B0%D1%87)"
7,Ветеринары,Бахытжан Темирович Гаязов,РСФСР Челябинская район СССР область Карталинский Родники,,1962-10-27,,57.0,0,"https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D1%8F%D0%B7%D0%BE%D0%B2,_%D0%91%D0%B0%D1%85%D1%8B%D1%82%D0%B6%D0%B0%D0%BD_%D0%A2%D0%B5%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
8,Ветеринары,Иван Никифорович Горбунов,Саратовская Бегуч Бегуч уезд империя Российская,Район Якорь СССР область ССР Соколовский Северо-Казахстанская Казахская,1913,1989-10-13,76.0,0,"https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D0%B1%D1%83%D0%BD%D0%BE%D0%B2,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%9D%D0%B8%D0%BA%D0%B8%D1%84%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
9,Ветеринары,Рауис Госманович Госманов,РСФСР район СССР Актанышский АССР,,1940,,80.0,21,"https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%81%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2,_%D0%A0%D0%B0%D1%83%D0%B8%D1%81_%D0%93%D0%BE%D1%81%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
10,Ветеринары,Алексей Мячеславович Данилов,СССР Красный Луганская область (город) Луч УССР,,1962,,58.0,0,"https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D0%BD%D0%B8%D0%BB%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9_%D0%9C%D1%8F%D1%87%D0%B5%D1%81%D0%BB%D0%B0%D0%B2%D0%BE%D0%B2%D0%B8%D1%87"
11,Ветеринары,Борис Иванович Данченко,РСФСР СССР Ростовская область Кашары,,1947-06-13,,72.0,0,"https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D0%BD%D1%87%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
12,Ветеринары,Эдуард Джавадович Джавадов,Области Коканд ССР Узбекской Ферганской,,1959,,61.0,0,"https://ru.wikipedia.org/wiki/%D0%94%D0%B6%D0%B0%D0%B2%D0%B0%D0%B4%D0%BE%D0%B2,_%D0%AD%D0%B4%D1%83%D0%B0%D1%80%D0%B4_%D0%94%D0%B6%D0%B0%D0%B2%D0%B0%D0%B4%D0%BE%D0%B2%D0%B8%D1%87"
