,science,name,birth_place,death_place,birth_date,death_date,age,works,link
0,Врачи,Владимир Андреевич Абрамов,Сталино ССР Украинская СССР,,1944-07-01,,75.0,6,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
1,Врачи,Игнатий Абрамович,Губерния империя Петроковская Российская Лодзь,Гданьск Польша,1890-04-14,1982-02-17,91.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2%D0%B8%D1%87,_%D0%98%D0%B3%D0%BD%D0%B0%D1%82%D0%B8%D0%B9_(%D0%BE%D1%84%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%BE%D0%BB%D0%BE%D0%B3)"
2,Врачи,Александр Александрович Авенариус,Губерния Санкт-Петербургская Вуолы уезд империя Российская Шлиссельбургский,Петергофский губерния Санкт-Петербургская уезд империя Российская Петергоф,1797-12-30,1892-12-26,94.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B5%D0%BD%D0%B0%D1%80%D0%B8%D1%83%D1%81,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
3,Врачи,Яков Александрович Авенариус,Губерния Санкт-Петербургская Вуолы уезд империя Российская Шлиссельбургский,Губерния Санкт-Петербургская Вуолы уезд империя Российская Шлиссельбургский,1788,1859,71.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B5%D0%BD%D0%B0%D1%80%D0%B8%D1%83%D1%81,_%D0%AF%D0%BA%D0%BE%D0%B2_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
4,Врачи,Шнеур Залман Авигдори,Губерния империя Николаев Херсонская Российская,Израиль,1891-09-28,1960,69.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B8%D0%B3%D0%B4%D0%BE%D1%80%D0%B8,_%D0%A8%D0%BD%D0%B5%D1%83%D1%80_%D0%97%D0%B0%D0%BB%D0%BC%D0%B0%D0%BD"
5,Врачи,Вячеслав Рубенович Агабалян,НКАО район СССР ССР Аскеранский Азербайджанская Дашбулаг,Степанакерт,1946-09-22,2004-01-05,57.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D0%B1%D0%B0%D0%BB%D1%8F%D0%BD,_%D0%92%D1%8F%D1%87%D0%B5%D1%81%D0%BB%D0%B0%D0%B2_%D0%A0%D1%83%D0%B1%D0%B5%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
6,Врачи,Карапет Саркисович Агаджанянц,Тифлис Российская империя,Париж Франция,1876,1955-12-15,79.0,17,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D0%B4%D0%B6%D0%B0%D0%BD%D1%8F%D0%BD%D1%86,_%D0%9A%D0%B0%D1%80%D0%B0%D0%BF%D0%B5%D1%82_%D0%A1%D0%B0%D1%80%D0%BA%D0%B8%D1%81%D0%BE%D0%B2%D0%B8%D1%87"
7,Врачи,Гасан-бек Мешади Гусейн оглы Агаев,Елизаветполь Российская империя,Грузинская Демократическая Тифлис Республика,1875,1920-07-19,45.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D0%B5%D0%B2,_%D0%93%D0%B0%D1%81%D0%B0%D0%BD-%D0%B1%D0%B5%D0%BA_%D0%9C%D0%B5%D1%88%D0%B0%D0%B4%D0%B8_%D0%93%D1%83%D1%81%D0%B5%D0%B9%D0%BD_%D0%BE%D0%B3%D0%BB%D1%8B"
8,Врачи,Сергей Александрович Агапов,Российская империя,Москва Российская империя,1836,1865,29.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D0%BF%D0%BE%D0%B2,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
9,Врачи,Агнодика,Греция Древняя,,,,,0,https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%BD%D0%BE%D0%B4%D0%B8%D0%BA%D0%B0
