,science,name,birth_place,death_place,birth_date,death_date,age,works,link
0,Географы,Лео Аарио,Великое княжество Пори империя Российская Финляндское,Эспоо Финляндия,1906,1998,92.0,10,"https://ru.wikipedia.org/wiki/%D0%90%D0%B0%D1%80%D0%B8%D0%BE,_%D0%9B%D0%B5%D0%BE"
1,Географы,Николай Алексеевич Абрамов,Сибирское генерал-губернаторство губерния Тобольская уезд империя Курганский Российская Курган,Генерал-губернаторство область Семипалатинская империя Семипалатинск Российская Западно-Сибирское,1812,1870,58.0,10,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87_(%D1%8D%D1%82%D0%BD%D0%BE%D0%B3%D1%80%D0%B0%D1%84)"
2,Географы,Авраам Крескес,Пальма,Пальма,1325-07-11,1387,62.0,6,https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D1%80%D0%B0%D0%B0%D0%BC_%D0%9A%D1%80%D0%B5%D1%81%D0%BA%D0%B5%D1%81
3,Географы,Николай Николаевич Агапитов,Губерния империя Иркутская Российская Иркутск,Губерния империя Иркутская Российская Иркутск,1840,1900,60.0,5,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D0%BF%D0%B8%D1%82%D0%BE%D0%B2,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
4,Географы,Агатархид,Книд Турция Мугла,Афины,200,140,60.0,2,https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D1%82%D0%B0%D1%80%D1%85%D0%B8%D0%B4
5,Географы,Владимир Николаевич Адрианов,Российская Санкт-Петербург империя,Россия Осташков,1875-02-22,1938-08-24,63.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D1%80%D0%B8%D0%B0%D0%BD%D0%BE%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
6,Географы,Уолтер Айзард,Пенсильвания США Филадельфия,Пенсильвания США Филадельфия,1919-04-19,2010-11-06,91.0,9,"https://ru.wikipedia.org/wiki/%D0%90%D0%B9%D0%B7%D0%B0%D1%80%D0%B4,_%D0%A3%D0%BE%D0%BB%D1%82%D0%B5%D1%80"
7,Географы,Сергей Иванович Аксёненко,СССР область Одесская ССР Арциз Украинская,,1967-05-25,,52.0,5,"https://ru.wikipedia.org/wiki/%D0%90%D0%BA%D1%81%D1%91%D0%BD%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
8,Географы,Иван Гаврилович Александров,Москва Российская империя,Москва СССР,1875,1936,61.0,9,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%93%D0%B0%D0%B2%D1%80%D0%B8%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
9,Географы,Александр Иванович Алексеев,РСФСР Ярославская губерния Ростовский,Москва Россия,1921-03-08,1993-05-27,72.0,1,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87_(%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D0%BA)"
10,Географы,Жан Батист Бургиньон де Анвиль,Париж,Париж,1697-07-11,1782-01-28,84.0,2,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B2%D0%B8%D0%BB%D1%8C,_%D0%96%D0%B0%D0%BD_%D0%91%D0%B0%D1%82%D0%B8%D1%81%D1%82_%D0%91%D1%83%D1%80%D0%B3%D0%B8%D0%BD%D1%8C%D0%BE%D0%BD_%D0%B4%D0%B5"
11,Географы,Карл Теодор Андре,Брауншвейг,Бад-Вильдунген,1808-10-20,1875-08-10,66.0,1,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D0%B5,_%D0%9A%D0%B0%D1%80%D0%BB_%D0%A2%D0%B5%D0%BE%D0%B4%D0%BE%D1%80"
12,Географы,Евгений Георгиевич Анимица,Район Украина область Володарский Донецкая,,1937-09-29,,82.0,37,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B8%D0%BC%D0%B8%D1%86%D0%B0,_%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%B8%D1%87"
13,Географы,Питер Аних,Австрия Тироль Оберперфус (земля),Инсбрук,1723-02-22,1766-09-01,43.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B8%D1%85,_%D0%9F%D0%B5%D1%82%D0%B5%D1%80"
14,Географы,Генрих Иосифович Анохин,РСФСР округ край Северо-Кавказский СССР Ейск Донской,Москва Россия,1925-01-17,2006-03-28,81.0,23,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%BE%D1%85%D0%B8%D0%BD,_%D0%93%D0%B5%D0%BD%D1%80%D0%B8%D1%85_%D0%98%D0%BE%D1%81%D0%B8%D1%84%D0%BE%D0%B2%D0%B8%D1%87"
15,Географы,Валерий Станиславович Аношко,Слободка район Белорусская СССР сельсовет область ССР Рованичский Червенский Минская,Слободка район Белорусская СССР сельсовет область ССР Рованичский Червенский Минская,1938-08-09,2015-01-17,76.0,9,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%BE%D1%88%D0%BA%D0%BE,_%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D0%B8%D0%B9_%D0%A1%D1%82%D0%B0%D0%BD%D0%B8%D1%81%D0%BB%D0%B0%D0%B2%D0%BE%D0%B2%D0%B8%D1%87"
