,science,name,birth_place,death_place,birth_date,death_date,age,works,link
0,Геологи,Лео Аарио,Великое княжество Пори империя Российская Финляндское,Эспоо Финляндия,1906,1998,92.0,10,"https://ru.wikipedia.org/wiki/%D0%90%D0%B0%D1%80%D0%B8%D0%BE,_%D0%9B%D0%B5%D0%BE"
1,Геологи,Владимир Алексеевич Абазаров,РСФСР Северо-Кавказский край СССР Тиховский,Тюмень Россия,1930-05-06,2003-05-13,73.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D0%B7%D0%B0%D1%80%D0%BE%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
2,Геологи,Фрументий Николаевич Абакумов,Астраханская Пришиб губерния уезд Енотаевский империя Российская,,1915-12-13,,104.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D0%BA%D1%83%D0%BC%D0%BE%D0%B2,_%D0%A4%D1%80%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B8%D0%B9_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
3,Геологи,Муминшо Абдулвасиевич Абдулвасиев,СССР Таджикская СССР ССР ГБАО Таджикская Шидз,Перевал Таджикистан в Хабуработ ГБАО Дарвазе Республика,1933-07-21,1992-11-22,59.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%B2%D0%B0%D1%81%D0%B8%D0%B5%D0%B2,_%D0%9C%D1%83%D0%BC%D0%B8%D0%BD%D1%88%D0%BE_%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%B2%D0%B0%D1%81%D0%B8%D0%B5%D0%B2%D0%B8%D1%87"
4,Геологи,Хабиб Мухаммедович Абдуллаев,Ферганская Араван область уезд империя Российская Скобелевский,ССР Ташкент СССР Узбекская,1912,1962-06-20,50.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%BB%D0%B0%D0%B5%D0%B2,_%D0%A5%D0%B0%D0%B1%D0%B8%D0%B1_%D0%9C%D1%83%D1%85%D0%B0%D0%BC%D0%BC%D0%B5%D0%B4%D0%BE%D0%B2%D0%B8%D1%87"
5,Геологи,Арсений Дмитриевич Абрюцкий,Кексгольмский Великое губерния княжество уезд Кексгольм Выборгская Финляндское,Российская Санкт-Петербург империя,1826,1860,34.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D1%8E%D1%86%D0%BA%D0%B8%D0%B9,_%D0%90%D1%80%D1%81%D0%B5%D0%BD%D0%B8%D0%B9_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2%D0%B8%D1%87"
6,Геологи,Георгий Александрович Авраменко,Ромны губерния империя Российская Полтавская,РСФСР край СССР Красноярский Ачинск,1911-08-04,1974,63.0,1,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D1%80%D0%B0%D0%BC%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B9_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
7,Геологи,Юрий Николаевич Аделунг,Москва СССР,Москва Россия,1945-04-03,1993-01-06,47.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D0%B5%D0%BB%D1%83%D0%BD%D0%B3,_%D0%AE%D1%80%D0%B8%D0%B9_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
8,Геологи,Николай Александрович Айбулатов,Сельское Палихово округ РСФСР район СССР область поселение Данковское Серпуховский Московская,Сельское Палихово округ РСФСР район СССР область поселение Данковское Серпуховский Московская,1930-05-29,2007,77.0,6,"https://ru.wikipedia.org/wiki/%D0%90%D0%B9%D0%B1%D1%83%D0%BB%D0%B0%D1%82%D0%BE%D0%B2,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
9,Геологи,Бальтазар Аке,(фр.) (фр.)русск. (фр.) Конке Ле Бретань русск.,Вена,1739,1815-01-10,76.0,8,"https://ru.wikipedia.org/wiki/%D0%90%D0%BA%D0%B5,_%D0%91%D0%B0%D0%BB%D1%8C%D1%82%D0%B0%D0%B7%D0%B0%D1%80"
