,science,name,birth_place,death_place,birth_date,death_date,works,link
0,Журналисты,Али Аалтонен,Йямся княжество Финляндское Великое,Финляндия Лахти,1884,1918,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B0%D0%BB%D1%82%D0%BE%D0%BD%D0%B5%D0%BD,_%D0%90%D0%BB%D0%B8"
1,Журналисты,Тойни Аалтонен,Гельсингфорс империя Российская,Хельсинки Финляндия,1906-03-30,1983-01-12,13,"https://ru.wikipedia.org/wiki/%D0%90%D0%B0%D0%BB%D1%82%D0%BE%D0%BD%D0%B5%D0%BD,_%D0%A2%D0%BE%D0%B9%D0%BD%D0%B8"
2,Журналисты,Лерой Ааронс,Нью-Йорк США Бронкс,Санта-Роза Калифорния США,1933-12-08,2004-11-28,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B0%D1%80%D0%BE%D0%BD%D1%81,_%D0%9B%D0%B5%D1%80%D0%BE%D0%B9"
3,Журналисты,Эбби Абади,Малайзия Куала-Лумпур,,1977,,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D0%B4%D0%B8,_%D0%AD%D0%B1%D0%B1%D0%B8"
4,Журналисты,Александр Абаза,Ленинград СССР РСФСР,Ленинград СССР РСФСР,1934,2011,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D0%B7%D0%B0,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%91%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2%D0%B8%D1%87"
5,Журналисты,Сергей Михайлович Абалин,,Москва СССР РСФСР,1901,1956,16,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D0%BB%D0%B8%D0%BD,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
6,Журналисты,Ходжа Ахмад Аббас,Пенджаб Британская Панипат Индия империя,Бомбей Индия,1914,1987,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B1%D0%B0%D1%81,_%D0%A5%D0%BE%D0%B4%D0%B6%D0%B0_%D0%90%D1%85%D0%BC%D0%B0%D0%B4"
7,Журналисты,Фуад Аббасов,Баку ССР Азербайджанская,,1976-12-15,,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B1%D0%B0%D1%81%D0%BE%D0%B2,_%D0%A4%D1%83%D0%B0%D0%B4_%D0%9C%D0%B0%D0%BB%D0%B8%D0%BA_%D0%BE%D0%B3%D0%BB%D1%8B"
8,Журналисты,Ихсан Абд аль-Куддус,Каир,Египет Каир,1919,1990-01-12,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4_%D0%B0%D0%BB%D1%8C-%D0%9A%D1%83%D0%B4%D0%B4%D1%83%D1%81,_%D0%98%D1%85%D1%81%D0%B0%D0%BD"
9,Журналисты,Жараскан Абдирашев,Аманоткель область район Аральский Кызылординская,Алма-Ата,1948,2001-02-10,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D0%B8%D1%80%D0%B0%D1%88%D0%B5%D0%B2,_%D0%96%D0%B0%D1%80%D0%B0%D1%81%D0%BA%D0%B0%D0%BD"
