,science,name,birth_place,death_place,birth_date,death_date,age,works,link
0,Искусствоведы,Абдулахад Абдуллаевич Абдуллаев,Ферганская СССР Узбекская ССР область Маргилан,,1928,,92.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%BB%D0%B0%D0%B5%D0%B2,_%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%B0%D1%85%D0%B0%D0%B4_%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
1,Искусствоведы,Зара Абдуллаева,Баку АзССР СССР,,1953,,67.0,16,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%BB%D0%B0%D0%B5%D0%B2%D0%B0,_%D0%97%D0%B0%D1%80%D0%B0_%D0%9A%D0%B5%D0%BC%D0%B0%D0%BB%D0%BE%D0%B2%D0%BD%D0%B0"
2,Искусствоведы,Олеся Александровна Авраменко,ССР Запорожье Украинская СССР,,1959-10-25,,60.0,30,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D1%80%D0%B0%D0%BC%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%9E%D0%BB%D0%B5%D1%81%D1%8F_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%BD%D0%B0"
3,Искусствоведы,Боча Миджитович Аджинджал,АССР Абхазская Пакуаш,Федерация Российская Санкт-Петербург,1937-12-28,2019-08-20,81.0,11,"https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D0%B6%D0%B8%D0%BD%D0%B4%D0%B6%D0%B0%D0%BB,_%D0%91%D0%BE%D1%87%D0%B0_%D0%9C%D0%B8%D0%B4%D0%B6%D0%B8%D1%82%D0%BE%D0%B2%D0%B8%D1%87"
4,Искусствоведы,Викентий Андреевич Адольф,Москва,Москва,1885,1966-01-16,81.0,1,"https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D0%BE%D0%BB%D1%8C%D1%84,_%D0%92%D0%B8%D0%BA%D0%B5%D0%BD%D1%82%D0%B8%D0%B9_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
5,Искусствоведы,Иван АлексеевИван Дмитриевич Алексеев,Челябинская район область Хуторка Увельский,Киев Украина,1923-10-22,1992,69.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2%D0%B8%D1%87"
6,Искусствоведы,Михаил Владимирович Алпатов,Москва Российская империя,Москва СССР,1902-12-10,1986-05-09,83.0,16,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%BF%D0%B0%D1%82%D0%BE%D0%B2,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
7,Искусствоведы,Александр Николаевич Андреев,Псковская губерния уезд империя Российская Порховский,Москва Российская империя,1830,1891,61.0,3,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87_(%D0%BF%D0%BE%D1%8D%D1%82)"
8,Искусствоведы,Екатерина Юрьевна Андреева,РСФСР Ленинград СССР,,1961-01-24,,58.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%D0%B0,_%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B0_%D0%AE%D1%80%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0"
9,Искусствоведы,Андриевский Леонид Иванович,СССР область Полтавская УССР Лубны,,1942-03-14,,77.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D0%B8%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
10,Искусствоведы,Виктор Васильевич Антонов,Ленинград,Санкт-Петербург,1938-09-14,2014-05-14,75.0,26,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87_(%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D0%BA)"
11,Искусствоведы,Валентина Гениевна Антонюкукр. Валентина Геніївна Антонюк,Район Новокатериновка СССР область ССР Старобешевский Сталинская Украинская,,1954-09-23,,65.0,10,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D1%8E%D0%BA,_%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82%D0%B8%D0%BD%D0%B0_%D0%93%D0%B5%D0%BD%D0%B8%D0%B5%D0%B2%D0%BD%D0%B0"
12,Искусствоведы,Владимир АпатскийВладимир Николаевич Апатский,Минск ССР СССР Белорусская,,1928-08-29,,91.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%BF%D0%B0%D1%82%D1%81%D0%BA%D0%B8%D0%B9,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
13,Искусствоведы,Вараздат Мартиросович Арутюнян,Ван империя Османская,Ереван Армения,1909-11-29,2008-03-20,98.0,26,"https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%83%D1%82%D1%8E%D0%BD%D1%8F%D0%BD,_%D0%92%D0%B0%D1%80%D0%B0%D0%B7%D0%B4%D0%B0%D1%82_%D0%9C%D0%B0%D1%80%D1%82%D0%B8%D1%80%D0%BE%D1%81%D0%BE%D0%B2%D0%B8%D1%87"
14,Искусствоведы,Мурад Маргарович Асратян,Ереван ЗСФСР СССР,,1935-06-20,,84.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D1%81%D1%80%D0%B0%D1%82%D1%8F%D0%BD,_%D0%9C%D1%83%D1%80%D0%B0%D0%B4_%D0%9C%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
15,Искусствоведы,Нина Александровна Ашарина,Москва,Москва,1938,1992,54.0,11,"https://ru.wikipedia.org/wiki/%D0%90%D1%88%D0%B0%D1%80%D0%B8%D0%BD%D0%B0,_%D0%9D%D0%B8%D0%BD%D0%B0_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%BD%D0%B0"
16,Искусствоведы,Аюуш Ширнэнгийн,Монголия Улан-Батор,Монголия Улан-Батор,1903,1938,35.0,10,https://ru.wikipedia.org/wiki/%D0%90%D1%8E%D1%83%D1%88_%D0%A8%D0%B8%D1%80%D0%BD%D1%8D%D0%BD%D0%B3%D0%B8%D0%B9%D0%BD
17,Искусствоведы,Эмма Бабаева,Андижан,Киев,1920-04-22,2014-08-20,94.0,0,"https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%B1%D0%B0%D0%B5%D0%B2%D0%B0,_%D0%AD%D0%BC%D0%BC%D0%B0_%D0%90%D1%80%D0%BA%D0%B0%D0%B4%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0"
18,Искусствоведы,Игорь Евгеньевич Бабанов,ЗСФСР Тифлис СССР,Россия Санкт-Петербург,1936-10-15,1994-01-24,57.0,1,"https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%B1%D0%B0%D0%BD%D0%BE%D0%B2,_%D0%98%D0%B3%D0%BE%D1%80%D1%8C_%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
19,Искусствоведы,Ольга Дмитриевна Баженова,Вологда,,1956-02-24,,63.0,4,"https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%B6%D0%B5%D0%BD%D0%BE%D0%B2%D0%B0,_%D0%9E%D0%BB%D1%8C%D0%B3%D0%B0_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2%D0%BD%D0%B0"
20,Искусствоведы,Сарвар Умуд оглу Байрамов,Эйвазалылар Азербайджанская Эйвазалылар Ждановский,,1979-08-01,,40.0,0,"https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%B9%D1%80%D0%B0%D0%BC%D0%BE%D0%B2,_%D0%A1%D0%B0%D1%80%D0%B2%D0%B0%D1%80_%D0%A3%D0%BC%D1%83%D0%B4_%D0%BE%D0%B3%D0%BB%D1%83"
21,Искусствоведы,Николай Дмитриевич Бартрам,Семёновка Курская губерния Льговский уезд империя Российская,Москва СССР,1873,1931-07-13,58.0,2,"https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%80%D1%82%D1%80%D0%B0%D0%BC,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2%D0%B8%D1%87"
22,Искусствоведы,Андрей Леонидович Баталов,РСФСР Москва СССР,,1955,,65.0,94,"https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B2,_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B9_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87"
