,science,name,birth_place,death_place,birth_date,death_date,works,link
0,Историки,Геродот Галикарнасский,Галикарнас Мугла Бодрум Турция,Фурии Македония Калабрия Пелла,484,425,25,https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D1%80%D0%BE%D0%B4%D0%BE%D1%82
1,Историки,Ион Хиосский,Хиос острова Хиос Эгейские Северные,Афины Древние,490,422,0,https://ru.wikipedia.org/wiki/%D0%98%D0%BE%D0%BD_%D0%A5%D0%B8%D0%BE%D1%81%D1%81%D0%BA%D0%B8%D0%B9
2,Историки,Клидем,Афины Древние,,,,0,https://ru.wikipedia.org/wiki/%D0%9A%D0%BB%D0%B8%D0%B4%D0%B5%D0%BC
3,Историки,Фукидид,Аттика,Аттика Афины,460,400,0,https://ru.wikipedia.org/wiki/%D0%A4%D1%83%D0%BA%D0%B8%D0%B4%D0%B8%D0%B4
4,Историки,Виктор Афанасьевич Абаза,Империя Российская,Териоки империя Российская Выборгская губерния,1831,1898,11,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D0%B7%D0%B0,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80_%D0%90%D1%84%D0%B0%D0%BD%D0%B0%D1%81%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
5,Историки,Константин Константинович Абаза,Империя Российская Докторовка Екатеринославская губерния,Империя Измаил Бессарабская Российская губерния,1841,1905,9,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D0%B7%D0%B0,_%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD_%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
6,Историки,Сергей Михайлович Абалин,,СССР РСФСР Москва,1901,1956,16,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D0%BB%D0%B8%D0%BD,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
7,Историки,Сергей Николаевич Абашин,СССР Москва,,1965-04-21,,51,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D1%88%D0%B8%D0%BD,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
8,Историки,Жан Батист Аббелоос,Брабант Фландрия Фламандский Гойк,Лёвен Фландрия Фламандский Брабант,1836-01-15,1906-02-25,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B1%D0%B5%D0%BB%D0%BE%D0%BE%D1%81,_%D0%96%D0%B0%D0%BD_%D0%91%D0%B0%D1%82%D0%B8%D1%81%D1%82"
9,Историки,Абд ал-Гаффар Кырыми,,,,,0,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4_%D0%B0%D0%BB-%D0%93%D0%B0%D1%84%D1%84%D0%B0%D1%80_%D0%9A%D1%8B%D1%80%D1%8B%D0%BC%D0%B8
10,Историки,Абд ар-Раззак,Герат,Герат,1413,1482,1,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4_%D0%B0%D1%80-%D0%A0%D0%B0%D0%B7%D0%B7%D0%B0%D0%BA_%D0%A1%D0%B0%D0%BC%D0%B0%D1%80%D0%BA%D0%B0%D0%BD%D0%B4%D0%B8
11,Историки,Абдул-Азиз аль-Рашид,,,1887,1938,1,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D1%83%D0%BB-%D0%90%D0%B7%D0%B8%D0%B7_%D0%B0%D0%BB%D1%8C-%D0%A0%D0%B0%D1%88%D0%B8%D0%B4
12,Историки,Абдул-Карим Бухари,Бухарский эмират Бухара,Константинополь,,1830,0,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D1%83%D0%BB-%D0%9A%D0%B0%D1%80%D0%B8%D0%BC_%D0%91%D1%83%D1%85%D0%B0%D1%80%D0%B8
13,Историки,Залман Евнович Абезга́уз,Лепель ССР Витебская Белорусская область,Белорусская Минск ССР,1920-04-10,1988-09-26,2,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B5%D0%B7%D0%B3%D0%B0%D1%83%D0%B7,_%D0%97%D0%B0%D0%BB%D0%BC%D0%B0%D0%BD_%D0%95%D0%B2%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
14,Историки,Жан-Пьер Абель-Ремюза,Париж Королевство Франция,Париж Франция,1788-09-05,1832-06-03,14,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B5%D0%BB%D1%8C-%D0%A0%D0%B5%D0%BC%D1%8E%D0%B7%D0%B0,_%D0%96%D0%B0%D0%BD-%D0%9F%D1%8C%D0%B5%D1%80"
15,Историки,Каспар Абель,Штендаль Германия Хоэнберг-Круземарк Хинденбург Саксония-Анхальт,Вестдорф Германия,1676-07-14,1763-01-11,8,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B5%D0%BB%D1%8C,_%D0%9A%D0%B0%D1%81%D0%BF%D0%B0%D1%80"
16,Историки,Лаврентий Семёнович Абецедарский,Империя Могилёвская Горки Российская Горецкий уезд губерния,Белорусская СССР Минск ССР,1916-07-12,1975-07-06,5,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B5%D1%86%D0%B5%D0%B4%D0%B0%D1%80%D1%81%D0%BA%D0%B8%D0%B9,_%D0%9B%D0%B0%D0%B2%D1%80%D0%B5%D0%BD%D1%82%D0%B8%D0%B9_%D0%A1%D0%B5%D0%BC%D1%91%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
17,Историки,Аблабий,Неизвестно,Неизвестно,,,0,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%BB%D0%B0%D0%B1%D0%B8%D0%B9_(%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D0%BA)
18,Историки,Абраам Ванакан,,,,,0,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%B0%D0%BC_%D0%92%D0%B0%D0%BD%D0%B0%D0%BA%D0%B0%D0%BD
19,Историки,Абраам Ереванци,,,1680,1740,0,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%B0%D0%BC_%D0%95%D1%80%D0%B5%D0%B2%D0%B0%D0%BD%D1%86%D0%B8
20,Историки,Абраам Кретаци,Ираклион,Вагаршапат,,1737-04-18,0,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%B0%D0%BC_%D0%9A%D1%80%D0%B5%D1%82%D0%B0%D1%86%D0%B8
21,Историки,Зигмунт Абрагамович,Польская Залуква Республика,Польша Варшава,1923-02-20,1990-12-13,9,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%B3%D0%B0%D0%BC%D0%BE%D0%B2%D0%B8%D1%87,_%D0%97%D0%B8%D0%B3%D0%BC%D1%83%D0%BD%D1%82"
22,Историки,Николай Алексеевич Абрамов,Тобольская Сибирское Курганский империя Российская уезд Курган генерал-губернаторство губерния,Западно-Сибирское империя Российская Семипалатинск Семипалатинская генерал-губернаторство область,1812,1870,10,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87_(%D1%8D%D1%82%D0%BD%D0%BE%D0%B3%D1%80%D0%B0%D1%84)"
23,Историки,Мозес Абрамовиц,Бруклин США Нью-Йорк,США Калифорния Станфорд Санта-Клара,1912-01-01,2000-12-01,3,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2%D0%B8%D1%86,_%D0%9C%D0%BE%D0%B7%D0%B5%D1%81"
24,Историки,Дмитрий Иванович Абрамович,Луцкий уезд Волынская губерния,Вильнюс,1873,1955,14,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2%D0%B8%D1%87,_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
25,Историки,Людвик Абрамович,Империя Москва Российская,Вильно Польша,1879-07-05,1939-03-09,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2%D0%B8%D1%87,_%D0%9B%D1%8E%D0%B4%D0%B2%D0%B8%D0%BA"
26,Историки,Андрей Петрович Абрамовский,СССР РСФСР Уральская Щучанский округ Утичье Песчанский Курганская Шадринский район область,Федерация Российская Челябинск Челябинская область,1924-09-21,2014-10-24,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B9_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
27,Историки,Джералд Абрахамс,Англия Великобритания Ланкашир Ливерпуль,Англия Великобритания Ланкашир Ливерпуль,1907-04-15,1980-03-15,25,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D1%85%D0%B0%D0%BC%D1%81,_%D0%94%D0%B6%D0%B5%D1%80%D0%B0%D0%BB%D0%B4"
28,Историки,Абу-ль-Фарадж бин Харун,Турция,Мероге Персия Мероге шахрестан Восточный,1226,1286-07-30,1,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%83-%D0%BB%D1%8C-%D0%A4%D0%B0%D1%80%D0%B0%D0%B4%D0%B6_%D0%B1%D0%B8%D0%BD_%D0%A5%D0%B0%D1%80%D1%83%D0%BD
29,Историки,Аваби Мухаммад Акташи Эндирейский,Тарковсое Дагестан Эндирей шамхальство,,,,0,https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B0%D0%B1%D0%B8_%D0%9C%D1%83%D1%85%D0%B0%D0%BC%D0%BC%D0%B0%D0%B4_%D0%90%D0%BA%D1%82%D0%B0%D1%88%D0%B8_%D0%B0%D0%BB%D1%8C-%D0%AD%D0%BD%D0%B4%D0%B8%D1%80%D0%B0%D0%B2%D0%B8
30,Историки,Авалиани Симон Лукич,Империя Российская наместничество Кутаис Кавказское,Грузия,1881-03-27,1922-08-11,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B0%D0%BB%D0%B8%D0%B0%D0%BD%D0%B8,_%D0%A1%D0%B8%D0%BC%D0%BE%D0%BD_%D0%9B%D1%83%D0%BA%D0%B8%D1%87"
31,Историки,Николай Николаевич Авдеев,Козлов,Москва,1879-08-29,1926-04-18,1,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B4%D0%B5%D0%B5%D0%B2,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
32,Историки,Пётр Иванович Авдеев,,,1831,1877,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B4%D0%B5%D0%B5%D0%B2,_%D0%9F%D1%91%D1%82%D1%80_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
33,Историки,Всеволод Игоревич Авдиев,Империя Москва Российская,СССР Москва,1898-10-19,1978-05-09,3,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B4%D0%B8%D0%B5%D0%B2,_%D0%92%D1%81%D0%B5%D0%B2%D0%BE%D0%BB%D0%BE%D0%B4_%D0%98%D0%B3%D0%BE%D1%80%D0%B5%D0%B2%D0%B8%D1%87"
34,Историки,Даниил Антонович Авдусин,РСФСР Сычёвский Сычёвка Смоленская уезд губерния,Россия Москва,1918-08-20,1994-06-03,12,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B4%D1%83%D1%81%D0%B8%D0%BD,_%D0%94%D0%B0%D0%BD%D0%B8%D0%B8%D0%BB_%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
35,Историки,Козьма Иванович Аверин,Зарайск,Зарайск,1799,1849,1,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B5%D1%80%D0%B8%D0%BD,_%D0%9A%D0%BE%D0%B7%D1%8C%D0%BC%D0%B0_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
36,Историки,Сергей Сергеевич Аверинцев,СССР РСФСР Москва,Вена Австрия,1937-12-10,2004-02-21,62,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B5%D1%80%D0%B8%D0%BD%D1%86%D0%B5%D0%B2,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
37,Историки,Константин Аверьянов,Москва,,1959,,19,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B5%D1%80%D1%8C%D1%8F%D0%BD%D0%BE%D0%B2,_%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
38,Историки,Мария Григорьевна Аверьянова,РСФСР Крапивенский уезд Тульская губерния,,1922,,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B5%D1%80%D1%8C%D1%8F%D0%BD%D0%BE%D0%B2%D0%B0,_%D0%9C%D0%B0%D1%80%D0%B8%D1%8F_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0"
39,Историки,Луис де Авила-и-Суньига,Пласенсия,Испания Толедо,1500,1564,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B8%D0%BB%D0%B0,_%D0%9B%D1%83%D0%B8%D1%81_%D0%B4%D0%B5"
40,Историки,Авраам ибн Дауд,Кордова предп. Испания Андалусия,Испания Толедо,1110,1180,11,https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D1%80%D0%B0%D0%B0%D0%BC_%D0%B8%D0%B1%D0%BD_%D0%94%D0%B0%D1%83%D0%B4
41,Историки,Авраамий,Протасьево Ярославская губерния,Монастырь Соловецкий,1550,,24,https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D1%80%D0%B0%D0%B0%D0%BC%D0%B8%D0%B9_(%D0%9F%D0%B0%D0%BB%D0%B8%D1%86%D1%8B%D0%BD)
42,Историки,"Авраменко, Валентин Евгеньевич",Украинская Херсон ССР,,1973,,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D1%80%D0%B0%D0%BC%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82%D0%B8%D0%BD_%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
43,Историки,Арон Яковлевич Аврех,Кирсанов империя Российская Тамбовская губерния,СССР Москва,1915,1988-12-28,9,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D1%80%D0%B5%D1%85,_%D0%90%D1%80%D0%BE%D0%BD_%D0%AF%D0%BA%D0%BE%D0%B2%D0%BB%D0%B5%D0%B2%D0%B8%D1%87"
44,Историки,Владимир Николаевич Автократов,РСФСР Москва,Россия Москва,1922-08-17,1992-12-02,12,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D1%82%D0%BE%D0%BA%D1%80%D0%B0%D1%82%D0%BE%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
45,Историки,Александр Александрович Автономов,,,,,4,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D1%82%D0%BE%D0%BD%D0%BE%D0%BC%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
46,Историки,Абдурахман Геназович Авторханов,Россия Наур Нижний область Терская,Германия,1908,1997-04-24,97,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D1%82%D0%BE%D1%80%D1%85%D0%B0%D0%BD%D0%BE%D0%B2,_%D0%90%D0%B1%D0%B4%D1%83%D1%80%D0%B0%D1%85%D0%BC%D0%B0%D0%BD_%D0%93%D0%B5%D0%BD%D0%B0%D0%B7%D0%BE%D0%B2%D0%B8%D1%87"
47,Историки,Авторы жизнеописаний Августов,,,,,0,https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D1%82%D0%BE%D1%80%D1%8B_%D0%B6%D0%B8%D0%B7%D0%BD%D0%B5%D0%BE%D0%BF%D0%B8%D1%81%D0%B0%D0%BD%D0%B8%D0%B9_%D0%90%D0%B2%D0%B3%D1%83%D1%81%D1%82%D0%BE%D0%B2
48,Историки,Агапий Манбиджский,,,,942,0,https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D0%BF%D0%B8%D0%B9_%D0%9C%D0%B0%D0%BD%D0%B1%D0%B8%D0%B4%D0%B6%D1%81%D0%BA%D0%B8%D0%B9
49,Историки,Николай Николаевич Агапитов,Иркутская империя Российская Иркутск губерния,Иркутская империя Российская Иркутск губерния,1840,1900,5,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D0%BF%D0%B8%D1%82%D0%BE%D0%B2,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
50,Историки,Агатангелос,Армения Великая,,,,0,https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D1%82%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D0%BE%D1%81
51,Историки,Агатархид,Книд Мугла Турция,Афины,200,140,2,https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D1%82%D0%B0%D1%80%D1%85%D0%B8%D0%B4
