,science,name,birth_place,death_place,birth_date,death_date,age,works,link
0,Лингвисты,Йоханнес Аавик,Губерния Эзельский уезд Лаймяла Лифляндская,Швеция Стокгольм,1880-12-08,1973-03-18,92.0,13,"https://ru.wikipedia.org/wiki/%D0%90%D0%B0%D0%B2%D0%B8%D0%BA,_%D0%99%D0%BE%D1%85%D0%B0%D0%BD%D0%BD%D0%B5%D1%81"
1,Лингвисты,Пентти Аалто,Пори Великое Финляндское княжество,Хельсинки Финляндия,1917-07-22,1998-11-30,81.0,9,"https://ru.wikipedia.org/wiki/%D0%90%D0%B0%D0%BB%D1%82%D0%BE,_%D0%9F%D0%B5%D0%BD%D1%82%D1%82%D0%B8"
2,Лингвисты,Эдуард Ааренс,Российская империя Ревель,Харьюмаа Куусалу Эстония,1803-04-03,1863-02-19,59.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B0%D1%80%D0%B5%D0%BD%D1%81,_%D0%AD%D0%B4%D1%83%D0%B0%D1%80%D0%B4"
3,Лингвисты,Абдулкадир Инан,Кунашакский губернии Верхнеуральского район области Челябинской Уфимской уезда,Турция Стамбул,1889-10-29,1976-07-26,86.0,0,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%BA%D0%B0%D0%B4%D0%B8%D1%80_%D0%98%D0%BD%D0%B0%D0%BD
4,Лингвисты,Сайгид Абдуллаев,Область империя Муги Российская Дагестанская,Область империя Муги Российская Дагестанская,1903-03-10,1952,49.0,7,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%BB%D0%B0%D0%B5%D0%B2,_%D0%A1%D0%B0%D0%B9%D0%B3%D0%B8%D0%B4_%D0%9D%D1%83%D1%85%D0%BA%D0%B0%D0%B4%D0%B8%D0%B5%D0%B2%D0%B8%D1%87"
5,Лингвисты,Алексей Алексеевич Авдеев,РСФСР Ставрополь СССР,,1940-07-18,,79.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B4%D0%B5%D0%B5%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
6,Лингвисты,Александр Авраменко,Запорожская область Камышеваха,,1971,,49.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D1%80%D0%B0%D0%BC%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
7,Лингвисты,Аполлинария Аврутина,РСФСР Ленинград СССР,,1979-10-20,,40.0,25,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D1%80%D1%83%D1%82%D0%B8%D0%BD%D0%B0,_%D0%90%D0%BF%D0%BE%D0%BB%D0%BB%D0%B8%D0%BD%D0%B0%D1%80%D0%B8%D1%8F_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%BD%D0%B0"
8,Лингвисты,Фёдор Павлович Аделунг,Штеттин,Российская Санкт-Петербург империя,1768-02-25,1843,75.0,15,"https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D0%B5%D0%BB%D1%83%D0%BD%D0%B3,_%D0%A4%D1%91%D0%B4%D0%BE%D1%80_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
9,Лингвисты,Клара Адягаши,Озд Венгрия Боршод-Абауй-Земплен,,1952-03-02,,67.0,8,"https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D1%8F%D0%B3%D0%B0%D1%88%D0%B8,_%D0%9A%D0%BB%D0%B0%D1%80%D0%B0"
