,science,name,birth_place,death_place,birth_date,death_date,age,works,link
0,Литературоведы,Кита Георгиевич Абашидзе,Губернии уезд империя Российская Кутаисской Озургетский Леса,Тбилиси,1870-01-28,1917-11-30,47.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D1%88%D0%B8%D0%B4%D0%B7%D0%B5,_%D0%9A%D0%B8%D1%82%D0%B0_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%B8%D1%87"
1,Литературоведы,Аббас Абдулла,Район СССР Болнисский ССР Кяпанакчи Грузинская,Район СССР Болнисский ССР Кяпанакчи Грузинская,1940-05-12,2019,79.0,2,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B1%D0%B0%D1%81_%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%BB%D0%B0
2,Литературоведы,Зара Абдуллаева,Баку АзССР СССР,,1953,,67.0,16,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%BB%D0%B0%D0%B5%D0%B2%D0%B0,_%D0%97%D0%B0%D1%80%D0%B0_%D0%9A%D0%B5%D0%BC%D0%B0%D0%BB%D0%BE%D0%B2%D0%BD%D0%B0"
3,Литературоведы,Анатолий Михайлович Абрамов,Район Качалинская Иловлинский поселение Качалинское сельское,Россия Воронеж,1917-12-05,2005-02-17,87.0,10,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2,_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D0%B8%D0%B9_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
4,Литературоведы,Фёдор Александрович Абрамов,РСФСР губерния Архангельская Пинежский уезд Веркола,РСФСР Ленинград СССР,1920-02-29,1983-05-14,63.0,65,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2,_%D0%A4%D1%91%D0%B4%D0%BE%D1%80_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
5,Литературоведы,Григорий Львович Абрамович,Губерния Елецкий уезд империя Российская Елец Орловская,Москва,1903-10-26,1979,76.0,8,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2%D0%B8%D1%87,_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D0%B8%D0%B9_%D0%9B%D1%8C%D0%B2%D0%BE%D0%B2%D0%B8%D1%87"
6,Литературоведы,Мейер Говард Абрамс,США Монмут Нью-Джерси Лонг-Бранч,США Нью-Йорк Итака,1912-07-23,2015-04-21,102.0,7,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D1%81,_%D0%9C%D0%B5%D0%B9%D0%B5%D1%80_%D0%93%D0%BE%D0%B2%D0%B0%D1%80%D0%B4"
7,Литературоведы,Александр Михайлович Авербух,СССР Украина Луганская область ССР Новоайдар Украинская Ворошиловградская,,1985-09-15,,34.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B5%D1%80%D0%B1%D1%83%D1%85,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
8,Литературоведы,Сергей Сергеевич Аверинцев,РСФСР Москва СССР,Вена Австрия,1937-12-10,2004-02-21,66.0,62,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B5%D1%80%D0%B8%D0%BD%D1%86%D0%B5%D0%B2,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
9,Литературоведы,Александр Авраменко,Запорожская область Камышеваха,,1971,,49.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D1%80%D0%B0%D0%BC%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
10,Литературоведы,Александр Агеев,Иваново,Москва,1956,2008-07-15,52.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B5%D0%B5%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87"
11,Литературоведы,Вера Агеева,СССР область Черниговская ССР Бахмач Украинская,,1958-07-30,,61.0,18,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B5%D0%B5%D0%B2%D0%B0,_%D0%92%D0%B5%D1%80%D0%B0_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%BD%D0%B0"
12,Литературоведы,Михаил Самуилович Агурский,Москва СССР,Москва СССР,1933,1991-08-21,58.0,27,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D1%83%D1%80%D1%81%D0%BA%D0%B8%D0%B9,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%A1%D0%B0%D0%BC%D1%83%D0%B8%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
13,Литературоведы,Балтабай Адамбаев,РСФСР Чимкентский область уезд Сырдарьинская АССР Туркестанская Байкадам,ССР Алма-Ата Казахская СССР,1919-09-24,1990-10-12,71.0,1,"https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D0%B0%D0%BC%D0%B1%D0%B0%D0%B5%D0%B2,_%D0%91%D0%B0%D0%BB%D1%82%D0%B0%D0%B1%D0%B0%D0%B9_%D0%90%D0%B1%D0%B4%D1%80%D0%B0%D1%85%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
14,Литературоведы,Антон Адамович,Губерния империя Минск Российская Минская,США Нью-Йорк,1909-06-26,1998-06-12,88.0,7,"https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D0%B0%D0%BC%D0%BE%D0%B2%D0%B8%D1%87,_%D0%90%D0%BD%D1%82%D0%BE%D0%BD_%D0%95%D0%B2%D1%81%D1%82%D0%B0%D1%84%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
15,Литературоведы,Владимир Яковлевич Адарюков,Курск Российская империя,Москва СССР,1863,1932-07-04,69.0,8,"https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D0%B0%D1%80%D1%8E%D0%BA%D0%BE%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%AF%D0%BA%D0%BE%D0%B2%D0%BB%D0%B5%D0%B2%D0%B8%D1%87"
16,Литературоведы,Татьяна Михайловна Акимова,Саратов Российская империя,РСФСР Пенза СССР,1898-12-25,1987-04-18,88.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%BA%D0%B8%D0%BC%D0%BE%D0%B2%D0%B0,_%D0%A2%D0%B0%D1%82%D1%8C%D1%8F%D0%BD%D0%B0_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%BD%D0%B0"
17,Литературоведы,Любовь Исааковна Аксельрод,Район губерния область уезд империя Витебская Российская Вилейский Поставский Виленская,Москва СССР,1868,1946-02-05,78.0,7,"https://ru.wikipedia.org/wiki/%D0%90%D0%BA%D1%81%D0%B5%D0%BB%D1%8C%D1%80%D0%BE%D0%B4,_%D0%9B%D1%8E%D0%B1%D0%BE%D0%B2%D1%8C_%D0%98%D1%81%D0%B0%D0%B0%D0%BA%D0%BE%D0%B2%D0%BD%D0%B0"
18,Литературоведы,Иван Александрович Аксёнов,Путивль губерния Курская,Москва СССР,1884,1935-09-03,51.0,35,"https://ru.wikipedia.org/wiki/%D0%90%D0%BA%D1%81%D1%91%D0%BD%D0%BE%D0%B2,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
19,Литературоведы,Борис Акунин,Грузинская Зестафони ССР СССР,,1956-05-20,,63.0,18,https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%90%D0%BA%D1%83%D0%BD%D0%B8%D0%BD
20,Литературоведы,Мамед Кязим Алекберли,Дербент Российская империя,Азербайджанская ССР Баку СССР,1905-01-24,1938-10-12,33.0,1,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D0%BA%D0%BF%D0%B5%D1%80%D0%BB%D0%B8,_%D0%9C%D0%B0%D0%BC%D0%B5%D0%B4_%D0%9A%D1%8F%D0%B7%D0%B8%D0%BC_%D0%90%D0%BB%D0%B5%D0%BA%D0%BF%D0%B5%D1%80_%D0%BE%D0%B3%D0%BB%D1%8B"
21,Литературоведы,Николай Александров,Москва СССР,,1961-02-04,,58.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2%D0%B8%D1%87"
22,Литературоведы,Дмитрий Иванович Алексеев,РСФСР СССР,РСФСР СССР,1918-11-10,1988-03-28,69.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2,_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
23,Литературоведы,Михаил Павлович Алексеев,Российская империя Киев,РСФСР Ленинград СССР,1896,1981-09-19,85.0,4,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
24,Литературоведы,Али Назим,Тебриз,Азербайджанская ССР Баку СССР,1906-11-24,1941-08-23,34.0,5,https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B8_%D0%9D%D0%B0%D0%B7%D0%B8%D0%BC
25,Литературоведы,Диляра Алиева,Грузинская ССР Тбилиси,Кахский ССР Азербайджанская район,1929-12-14,1991-04-19,61.0,12,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B8%D0%B5%D0%B2%D0%B0,_%D0%94%D0%B8%D0%BB%D1%8F%D1%80%D0%B0_%D0%90%D0%BB%D0%B5%D0%BA%D0%BF%D0%B5%D1%80_%D0%BA%D1%8B%D0%B7%D1%8B"
