,science,name,birth_place,death_place,birth_date,death_date,works,link
0,Логики,Хенк Барендрегт,Амстердам,,1947-12-18,,8,"https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%80%D0%B5%D0%BD%D0%B4%D1%80%D0%B5%D0%B3%D1%82,_%D0%A5%D0%B5%D0%BD%D0%BA"
1,Логики,Людвиг Витгенштейн,Вена Австро-Венгрия,Кембридж Великобритания,1889-04-26,1951-04-29,29,"https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D1%82%D0%B3%D0%B5%D0%BD%D1%88%D1%82%D0%B5%D0%B9%D0%BD,_%D0%9B%D1%8E%D0%B4%D0%B2%D0%B8%D0%B3"
2,Логики,Курт Гёдель,Чехия Брюнн Брно Австро-Венгрия,Нью-Джерси США Принстон,1906-04-28,1978-01-14,13,"https://ru.wikipedia.org/wiki/%D0%93%D1%91%D0%B4%D0%B5%D0%BB%D1%8C,_%D0%9A%D1%83%D1%80%D1%82"
3,Логики,Юрий Васильевич Глебский,СССР,СССР,1927,1977,15,"https://ru.wikipedia.org/wiki/%D0%93%D0%BB%D0%B5%D0%B1%D1%81%D0%BA%D0%B8%D0%B9,_%D0%AE%D1%80%D0%B8%D0%B9_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
4,Логики,Эугениуш Гродзиньский,Российская империя Псков,Польша Варшава,1912-01-10,1994-10-11,11,"https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%BE%D0%B4%D0%B7%D0%B8%D0%BD%D1%8C%D1%81%D0%BA%D0%B8%D0%B9,_%D0%AD%D1%83%D0%B3%D0%B5%D0%BD%D0%B8%D1%83%D1%88"
5,Логики,Альберт Григорьевич Драгалин,Моржовец,Дебрецен,1941-04-10,1998-12-18,11,"https://ru.wikipedia.org/wiki/%D0%94%D1%80%D0%B0%D0%B3%D0%B0%D0%BB%D0%B8%D0%BD,_%D0%90%D0%BB%D1%8C%D0%B1%D0%B5%D1%80%D1%82_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
6,Логики,Иван Иванович Жегалкин,Империя Российская Мценск Орловская губерния,СССР Москва,1869,1947-03-28,0,"https://ru.wikipedia.org/wiki/%D0%96%D0%B5%D0%B3%D0%B0%D0%BB%D0%BA%D0%B8%D0%BD,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
7,Логики,Лотфи Заде,Новханы Баку Азербайджан,США Калифорния Аламида Беркли,1921-02-04,2017-09-06,0,"https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%B4%D0%B5,_%D0%9Bo%D1%82%D1%84%D0%B8"
8,Логики,Иммануил Кант,Кёнигсберг Пруссия,Кёнигсберг Пруссия,1724-04-22,1804-02-12,92,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BD%D1%82,_%D0%98%D0%BC%D0%BC%D0%B0%D0%BD%D1%83%D0%B8%D0%BB"
9,Логики,Хаскелл Карри,США,США Пенсильвания Сентр,1900-09-12,1982-09-01,5,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D1%80%D0%B8,_%D0%A5%D0%B0%D1%81%D0%BA%D0%B5%D0%BB%D0%BB"
