,science,name,birth_place,death_place,birth_date,death_date,age,works,link
0,Математики,Бруно Абаканович,Губерния империя Российская Виленская Вилькомир,Париж Сен-Мор-де-Фоссе,1852,1900-08-29,48.0,8,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D0%BA%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,_%D0%91%D1%80%D1%83%D0%BD%D0%BE"
1,Математики,Нильс Хенрик Абель,Уния Норвегия Датско-норвежская Финнёй Ругаланн,Фроланн Норвегия Эуст-Агдер,1802-08-05,1829-04-06,26.0,19,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B5%D0%BB%D1%8C,_%D0%9D%D0%B8%D0%BB%D1%8C%D1%81_%D0%A5%D0%B5%D0%BD%D1%80%D0%B8%D0%BA"
2,Математики,Александр Александрович Абрамов,Москва СССР,Москва Россия,1926-02-14,2019-01-10,92.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87_(%D0%BC%D0%B0%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D0%BA)"
3,Математики,Александр Михайлович Абрамов,Астрахань,Москва,1946,2015-05-24,69.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87_(%D0%BC%D0%B0%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D0%BA)"
4,Математики,Сергей Александрович Абрамов,Тушино СССР,,1946-04-11,,73.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87_(%D0%BC%D0%B0%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D0%BA)"
5,Математики,Сергей Михайлович Абрамов,Москва,,1957-03-25,,62.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87_(%D1%83%D1%87%D1%91%D0%BD%D1%8B%D0%B9)"
6,Математики,Виктор Александрович Абрашкин,,,1950-09-06,,69.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D1%88%D0%BA%D0%B8%D0%BD,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
7,Математики,Александр Викторович Абросимов,РСФСР Куйбышев СССР,Новгород Нижний Россия,1948-11-16,2011-06-20,62.0,33,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%BE%D1%81%D0%B8%D0%BC%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
8,Математики,Абу Джафар ибн Хаббаш,,,,,,0,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%83_%D0%94%D0%B6%D0%B0%D1%84%D0%B0%D1%80_%D0%B8%D0%B1%D0%BD_%D0%A5%D0%B0%D0%B1%D0%B0%D1%88
9,Математики,Абу Камил,Предп. Египет,Неизвестно,850,930,80.0,0,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%83_%D0%9A%D0%B0%D0%BC%D0%B8%D0%BB
