,science,name,birth_place,death_place,birth_date,death_date,age,works,link
0,Медики,Доктор Аграновский,Москва СССР,,1953-06-23,,66.0,60,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D1%80%D0%B0%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
1,Медики,Отар Георгиевич Анджапаридзе,Батуми,Москва,1920-02-12,1996-05-27,76.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D0%B6%D0%B0%D0%BF%D0%B0%D1%80%D0%B8%D0%B4%D0%B7%D0%B5,_%D0%9E%D1%82%D0%B0%D1%80_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%B8%D1%87"
2,Медики,Тамара Иосифовна Балезина,Старобельск губерния империя Харьковская Российская,Москва Россия,1913-04-28,2010-08-11,97.0,5,"https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%BB%D0%B5%D0%B7%D0%B8%D0%BD%D0%B0,_%D0%A2%D0%B0%D0%BC%D0%B0%D1%80%D0%B0_%D0%98%D0%BE%D1%81%D0%B8%D1%84%D0%BE%D0%B2%D0%BD%D0%B0"
3,Медики,Фредерик Чарлз Боуден,Великобритания,Великобритания,1908-08-18,1972,64.0,3,"https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D1%83%D0%B4%D0%B5%D0%BD,_%D0%A4%D1%80%D0%B5%D0%B4%D0%B5%D1%80%D0%B8%D0%BA_%D0%A7%D0%B0%D1%80%D0%BB%D0%B7"
4,Медики,София Георгиевна Георгиева,СССР Россия Россия СССР,,1958,,62.0,0,"https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%B0,_%D0%A1%D0%BE%D1%84%D0%B8%D1%8F_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%BD%D0%B0"
5,Медики,Андрей Владимирович Гудков,,,1956,,64.0,0,"https://ru.wikipedia.org/wiki/%D0%93%D1%83%D0%B4%D0%BA%D0%BE%D0%B2,_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B9_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
6,Медики,Вилли Мельников,Москва СССР,Москва Россия,1962-08-11,2016-10-18,54.0,0,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BB%D1%8C%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2,_%D0%92%D0%B8%D0%BB%D0%BB%D0%B8"
7,Медики,Иван Семёнович Попушой,Королевство Румыния Кишинёв,Королевство Румыния Кишинёв,1924-01-06,2012-05-24,88.0,5,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BF%D1%83%D1%88%D0%BE%D0%B9,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%A1%D0%B5%D0%BC%D1%91%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
8,Медики,Алексей Александрович Свиридов,Губерния империя Омск Российская Омская,Неизвестно,1910-03-19,1983-09-19,73.0,8,"https://ru.wikipedia.org/wiki/%D0%A1%D0%B2%D0%B8%D1%80%D0%B8%D0%B4%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
9,Медики,Валерий Вениаминович Смирнов,Таганрог СССР,Таганрог СССР,1937-04-07,2002-12-27,65.0,0,"https://ru.wikipedia.org/wiki/%D0%A1%D0%BC%D0%B8%D1%80%D0%BD%D0%BE%D0%B2,_%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D0%B8%D0%B9_%D0%92%D0%B5%D0%BD%D0%B8%D0%B0%D0%BC%D0%B8%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
