,science,name,birth_place,death_place,birth_date,death_date,age,works,link
0,Педагоги,Юхан Аавик,Вильяндимаа губерния Эстония Голстре империя Российская Лифляндская,Стокгольм,1884-01-29,1982-11-26,98.0,11,"https://ru.wikipedia.org/wiki/%D0%90%D0%B0%D0%B2%D0%B8%D0%BA,_%D0%AE%D1%85%D0%B0%D0%BD"
1,Педагоги,Лео Аарио,Великое княжество Пори империя Российская Финляндское,Эспоо Финляндия,1906,1998,92.0,10,"https://ru.wikipedia.org/wiki/%D0%90%D0%B0%D1%80%D0%B8%D0%BE,_%D0%9B%D0%B5%D0%BE"
2,Педагоги,Султанбек Асланбекович Абаев,Шканты империя Черекское Российская ущелье,Хулам Российская империя Кабардино-Балкария,1845,1888-01-21,43.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D0%B5%D0%B2,_%D0%A1%D1%83%D0%BB%D1%82%D0%B0%D0%BD%D0%B1%D0%B5%D0%BA_%D0%90%D1%81%D0%BB%D0%B0%D0%BD%D0%B1%D0%B5%D0%BA%D0%BE%D0%B2%D0%B8%D1%87"
3,Педагоги,Алексей Борисович Абаза,КНР Маньчжурия,Калифорния США Сан-Франциско,1916,1994-12-15,78.0,9,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D0%B7%D0%B0,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9_%D0%91%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2%D0%B8%D1%87"
4,Педагоги,Аркадий Максимович Абаза,Курская губерния уезд Свердликово Суджанский,Курск Российская империя,1843,1915,72.0,7,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D0%B7%D0%B0,_%D0%90%D1%80%D0%BA%D0%B0%D0%B4%D0%B8%D0%B9_%D0%9C%D0%B0%D0%BA%D1%81%D0%B8%D0%BC%D0%BE%D0%B2%D0%B8%D1%87"
5,Педагоги,Борис Георгиевич Абальян,Россия Россия СССР,,1947-10-28,,72.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D0%BB%D1%8C%D1%8F%D0%BD,_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%B8%D1%87"
6,Педагоги,Октай Гусейн оглу Абаскулиевазерб. Oqtay Hüseyn oğlu Abasquliyev,Азербайджанская ССР Баку,Азербайджан Баку,1940,2016,76.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D1%81%D0%BA%D1%83%D0%BB%D0%B8%D0%B5%D0%B2,_%D0%9E%D0%BA%D1%82%D0%B0%D0%B9_%D0%93%D1%83%D1%81%D0%B5%D0%B9%D0%BD_%D0%BE%D0%B3%D0%BB%D1%83"
7,Педагоги,Пётр Абашеев,РСФСР Улан-Удэ СССР,РСФСР Улан-Удэ СССР,1934-07-24,1997,63.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D1%88%D0%B5%D0%B5%D0%B2,_%D0%9F%D1%91%D1%82%D1%80_%D0%A2%D0%B8%D0%BC%D0%BE%D1%84%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
8,Педагоги,Клара Абашина,РСФСР Астрахань СССР,СССР,1928-07-17,2009,81.0,15,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D1%88%D0%B8%D0%BD%D0%B0,_%D0%9A%D0%BB%D0%B0%D1%80%D0%B0_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%BD%D0%B0"
9,Педагоги,Шухрат Аббасов,ССР Узбекская СССР Коканд,Ташкент Узбекистан,1931-01-16,2018-04-25,87.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B1%D0%B0%D1%81%D0%BE%D0%B2,_%D0%A8%D1%83%D1%85%D1%80%D0%B0%D1%82_%D0%A1%D0%B0%D0%BB%D0%B8%D1%85%D0%BE%D0%B2%D0%B8%D1%87"
