,science,name,birth_place,death_place,birth_date,death_date,age,works,link
0,Правоведы,Сурен Джангирович Абрамян,Армянская Ереван ССР,,1947-01-14,,72.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D1%8F%D0%BD,_%D0%A1%D1%83%D1%80%D0%B5%D0%BD_%D0%94%D0%B6%D0%B0%D0%BD%D0%B3%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
1,Правоведы,Алексей Станиславович Автономов,Москва,,1959,,61.0,3,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D1%82%D0%BE%D0%BD%D0%BE%D0%BC%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9_%D0%A1%D1%82%D0%B0%D0%BD%D0%B8%D1%81%D0%BB%D0%B0%D0%B2%D0%BE%D0%B2%D0%B8%D1%87"
2,Правоведы,Джеймс Андерсон,Эдинбург,Вест Лондон Великобритания Ньюэм,1739-05-23,1808-10-15,69.0,1,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D0%B5%D1%80%D1%81%D0%BE%D0%BD,_%D0%94%D0%B6%D0%B5%D0%B9%D0%BC%D1%81_(%D1%8D%D0%BA%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D1%81%D1%82)"
3,Правоведы,Константин Никанорович Анненков,Курская губерния Льговский,Курская губерния Льговский,1842-12-21,1910,68.0,42,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%BD%D0%B5%D0%BD%D0%BA%D0%BE%D0%B2,_%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD_%D0%9D%D0%B8%D0%BA%D0%B0%D0%BD%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
4,Правоведы,Алексей Артемьевич Артемьев,Российская империя,Москва Российская империя,1748,1820,72.0,2,"https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%82%D0%B5%D0%BC%D1%8C%D0%B5%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9_%D0%90%D1%80%D1%82%D0%B5%D0%BC%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
5,Правоведы,Александр Львович Байков,Франция Франция империя Российская Российская,Париж Франция,1874,1943-12-31,69.0,0,"https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%B9%D0%BA%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9B%D1%8C%D0%B2%D0%BE%D0%B2%D0%B8%D1%87"
6,Правоведы,Владимир Николаевич Бенешевич,Губерния уезд Дисненский Друя Виленская,Ленинград СССР,1874,1938-01-27,64.0,14,"https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BD%D0%B5%D1%88%D0%B5%D0%B2%D0%B8%D1%87,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
7,Правоведы,Ирина Бережная,Ворошиловград ССР Украинская СССР,Задарска Хорватия,1980-08-13,2017,37.0,0,"https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D1%80%D0%B5%D0%B6%D0%BD%D0%B0%D1%8F,_%D0%98%D1%80%D0%B8%D0%BD%D0%B0_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0"
8,Правоведы,Карл Ильич Бернштейн,Одесса,Берлин,1842-01-13,1894,52.0,2,"https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D1%80%D0%BD%D1%88%D1%82%D0%B5%D0%B9%D0%BD,_%D0%9A%D0%B0%D1%80%D0%BB_%D0%98%D0%BB%D1%8C%D0%B8%D1%87"
9,Правоведы,Шарль Берриа-Сен-При,Франция,Франция,1802-12-01,1870-09-11,67.0,0,"https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D1%80%D1%80%D0%B8%D0%B0-%D0%A1%D0%B5%D0%BD-%D0%9F%D1%80%D0%B8,_%D0%A8%D0%B0%D1%80%D0%BB%D1%8C"
10,Правоведы,Александр Александрович Борзенко,Российская империя,Российская империя Одесса,1847,1915,68.0,0,"https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D1%80%D0%B7%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
