,science,name,birth_place,death_place,birth_date,death_date,age,works,link
0,Социологи,Эдуард Йозеф Абрамовски,Стефанин (ныне Империя Российская Украина),Варшава,1868-08-17,1918-06-21,49.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2%D1%81%D0%BA%D0%B8,_%D0%AD%D0%B4%D1%83%D0%B0%D1%80%D0%B4_%D0%99%D0%BE%D0%B7%D0%B5%D1%84"
1,Социологи,Владимир Леонидович Абушенко,СССР Белорусская Брестская область ССР Пинск,Район Ждановичский сельсовет область Белоруссия Ратомка Минская Минский,1957-04-22,2015-09-26,58.0,46,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%83%D1%88%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87"
2,Социологи,Галина Алексеевна Аванесова,Москва СССР,,1943-11-18,,76.0,23,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B0%D0%BD%D0%B5%D1%81%D0%BE%D0%B2%D0%B0,_%D0%93%D0%B0%D0%BB%D0%B8%D0%BD%D0%B0_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BD%D0%B0"
3,Социологи,Леонид Яковлевич Аверьянов,,,1944-04-10,2011-03-05,66.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B5%D1%80%D1%8C%D1%8F%D0%BD%D0%BE%D0%B2,_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4_%D0%AF%D0%BA%D0%BE%D0%B2%D0%BB%D0%B5%D0%B2%D0%B8%D1%87"
4,Социологи,Артур Владимирович Агаджанян,Азербайджанская ССР Ханлар СССР,,1957-10-23,,62.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D0%B4%D0%B6%D0%B0%D0%BD%D1%8F%D0%BD,_%D0%90%D1%80%D1%82%D1%83%D1%80_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
5,Социологи,Ахед Агаев,РСФСР район СССР Ахтынский АССР Ахты Дагестанская,Россия Махачкала,1924-03-22,2003,79.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D0%B5%D0%B2,_%D0%90%D1%85%D0%B5%D0%B4_%D0%93%D0%B0%D0%B4%D0%B6%D0%B8%D0%BC%D1%83%D1%80%D0%B0%D0%B4%D0%BE%D0%B2%D0%B8%D1%87"
6,Социологи,Тамара Завеновна Адамьянц,СССР Россия Россия СССР,,1943,,77.0,36,"https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D0%B0%D0%BC%D1%8C%D1%8F%D0%BD%D1%86,_%D0%A2%D0%B0%D0%BC%D0%B0%D1%80%D0%B0_%D0%97%D0%B0%D0%B2%D0%B5%D0%BD%D0%BE%D0%B2%D0%BD%D0%B0"
7,Социологи,Джейн Аддамс,Иллинойс США Стивенсон,Чикаго Иллинойс США,1860-09-06,1935-05-21,74.0,2,"https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D0%B4%D0%B0%D0%BC%D1%81,_%D0%94%D0%B6%D0%B5%D0%B9%D0%BD"
8,Социологи,Теодор Адорно,Франкфурт-на-Майне Германская империя,Швейцария Висп,1903-09-11,1969-08-06,65.0,1,"https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D0%BE%D1%80%D0%BD%D0%BE,_%D0%A2%D0%B5%D0%BE%D0%B4%D0%BE%D1%80"
9,Социологи,Нариман Абдрахманович Аитов,АССР Казань СССР Татарская,Казахстан Алма-Ата,1925-12-28,1999-08-17,73.0,21,"https://ru.wikipedia.org/wiki/%D0%90%D0%B8%D1%82%D0%BE%D0%B2,_%D0%9D%D0%B0%D1%80%D0%B8%D0%BC%D0%B0%D0%BD_%D0%90%D0%B1%D0%B4%D1%80%D0%B0%D1%85%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
10,Социологи,Светлана Григорьевна Айвазова,Москва СССР,,1944-05-02,,75.0,18,"https://ru.wikipedia.org/wiki/%D0%90%D0%B9%D0%B2%D0%B0%D0%B7%D0%BE%D0%B2%D0%B0,_%D0%A1%D0%B2%D0%B5%D1%82%D0%BB%D0%B0%D0%BD%D0%B0_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0"
11,Социологи,Риан Айслер,Первая Вена Республика,,1931-07-22,,88.0,9,"https://ru.wikipedia.org/wiki/%D0%90%D0%B9%D1%81%D0%BB%D0%B5%D1%80,_%D0%A0%D0%B8%D0%B0%D0%BD"
12,Социологи,Танер Акчам,Ардахан Турция,,1953-10-23,,66.0,4,"https://ru.wikipedia.org/wiki/%D0%90%D0%BA%D1%87%D0%B0%D0%BC,_%D0%A2%D0%B0%D0%BD%D0%B5%D1%80"
13,Социологи,Джеффри Александер,Милуоки США Висконсин,,1947-05-30,,72.0,26,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D0%B5%D1%80,_%D0%94%D0%B6%D0%B5%D1%84%D1%84%D1%80%D0%B8"
14,Социологи,Габриэле Аллегра,Сан-Джованни-ла-Пунта Италия Сицилия Катания,Гонконг,1907-12-16,1976-01-26,68.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%BB%D0%B5%D0%B3%D1%80%D0%B0,_%D0%93%D0%B0%D0%B1%D1%80%D0%B8%D1%8D%D0%BB%D0%B5"
15,Социологи,Отто Георг Аммон,Карлсруэ,Карлсруэ,1842,1916-01-14,74.0,6,"https://ru.wikipedia.org/wiki/%D0%90%D0%BC%D0%BC%D0%BE%D0%BD,_%D0%9E%D1%82%D1%82%D0%BE"
16,Социологи,Бенедикт Андерсон,КНР Куньмин,Восточная Индонезия Ява Бату,1936-08-26,2015-12-13,79.0,7,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D0%B5%D1%80%D1%81%D0%BE%D0%BD,_%D0%91%D0%B5%D0%BD%D0%B5%D0%B4%D0%B8%D0%BA%D1%82"
17,Социологи,Перри Андерсон,Лондон,,1938,,82.0,11,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D0%B5%D1%80%D1%81%D0%BE%D0%BD,_%D0%9F%D0%B5%D1%80%D1%80%D0%B8"
18,Социологи,Чарльз Арнольд Андерсон,США Плэтт Микс Чарльз Южная,Чикаго Иллинойс США,1907-01-13,1990-06-26,83.0,2,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D0%B5%D1%80%D1%81%D0%BE%D0%BD,_%D0%A7%D0%B0%D1%80%D0%BB%D1%8C%D0%B7_%D0%90%D1%80%D0%BD%D0%BE%D0%BB%D1%8C%D0%B4"
19,Социологи,Галина Михайловна Андреева,РСФСР Казань СССР,Москва Россия,1924-06-13,2014-05-31,89.0,23,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%D0%B0,_%D0%93%D0%B0%D0%BB%D0%B8%D0%BD%D0%B0_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%BD%D0%B0"
20,Социологи,Марк Анжено,Брюссель Бельгия,,1941,,79.0,30,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B6%D0%B5%D0%BD%D0%BE,_%D0%9C%D0%B0%D1%80%D0%BA"
21,Социологи,Анатолий Иванович Антонов,Москва СССР,,1936-08-29,,83.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2,_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D0%B8%D0%B9_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87_(%D1%81%D0%BE%D1%86%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3)"
22,Социологи,Екатерина Арборе-Ралли,Швейцария Женева,Район СССР Молдавская ССР Тираспольский АССР Тирасполь Украинская,1875-10-16,1937,62.0,3,"https://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%B1%D0%BE%D1%80%D0%B5,_%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B0"
23,Социологи,Роберто Ардиго,Ломбардо-Венецианское Кастельдидоне Кремона королевство,Мантуя Ломбардия Королевство Италия,1828-01-28,1920-09-15,92.0,10,"https://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%B4%D0%B8%D0%B3%D0%BE,_%D0%A0%D0%BE%D0%B1%D0%B5%D1%80%D1%82%D0%BE"
24,Социологи,Ариф Будиман,Джакарта,,1941,,79.0,0,https://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%B8%D1%84_%D0%91%D1%83%D0%B4%D0%B8%D0%BC%D0%B0%D0%BD
25,Социологи,Раймон Клод Фердинанд Арон,Рамбервиллер Франция,Париж Франция,1905-03-14,1983-10-17,78.0,14,"https://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%BE%D0%BD,_%D0%A0%D0%B0%D0%B9%D0%BC%D0%BE%D0%BD"
26,Социологи,Джованни Арриги,Милан,Балтимор,1937,2009-06-18,72.0,10,"https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%80%D0%B8%D0%B3%D0%B8,_%D0%94%D0%B6%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D0%B8"
27,Социологи,Поль Арсен,Бельгия Льеж,Бельгия Льеж,1902-01-21,1983,81.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%81%D0%B5%D0%BD,_%D0%9F%D0%BE%D0%BB%D1%8C"
28,Социологи,Людмила Акоповна Арутюнян,Армянская Ереван ССР,,1941-11-13,,78.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%83%D1%82%D1%8E%D0%BD%D1%8F%D0%BD,_%D0%9B%D1%8E%D0%B4%D0%BC%D0%B8%D0%BB%D0%B0_%D0%90%D0%BA%D0%BE%D0%BF%D0%BE%D0%B2%D0%BD%D0%B0"
29,Социологи,Юрик Вартанович Арутюнян,РСФСР Ростов-на-Дону СССР,Москва Россия,1929-08-20,2016-06-26,86.0,51,"https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%83%D1%82%D1%8E%D0%BD%D1%8F%D0%BD,_%D0%AE%D1%80%D0%B8%D0%BA_%D0%92%D0%B0%D1%80%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
30,Социологи,Маргарет Арчер,Йоркшир Эклсфилд Англия Южный Grenoside и Хамбер,,1943-01-20,,76.0,8,"https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%87%D0%B5%D1%80,_%D0%9C%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B5%D1%82"
31,Социологи,Сергей Степанович Асланян,Москва СССР,,1966-02-20,,53.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D1%81%D0%BB%D0%B0%D0%BD%D1%8F%D0%BD,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%A1%D1%82%D0%B5%D0%BF%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
