,science,name,birth_place,death_place,birth_date,death_date,works,link
0,Статистики,Нерсес Иванович Акопов,Ростов-на-Дону,,1944-05-28,,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%BA%D0%BE%D0%BF%D0%BE%D0%B2,_%D0%9D%D0%B5%D1%80%D1%81%D0%B5%D1%81_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
1,Статистики,Эмерико Амари,Сицилия Королевство Палермо,Королевство Италия Палермо,1810-05-10,1870-09-20,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%BC%D0%B0%D1%80%D0%B8,_%D0%AD%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%BE"
2,Статистики,Василий Петрович Андросов,Рославль империя Российская Смоленская Рославльский уезд губерния,Империя Москва Российская,1803,1841,7,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D0%BE%D1%81%D0%BE%D0%B2,_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D0%B8%D0%B9_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
3,Статистики,Николай Фёдорович Анненский,Санкт-Петербург империя Российская,Куоккала,1843-03-12,1912,17,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%BD%D0%B5%D0%BD%D1%81%D0%BA%D0%B8%D0%B9,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%A4%D1%91%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
4,Статистики,Афиноген Яковлевич Антонович,Волынская губерния,Волынская губерния,1848,1917,6,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,_%D0%90%D1%84%D0%B8%D0%BD%D0%BE%D0%B3%D0%B5%D0%BD_%D0%AF%D0%BA%D0%BE%D0%B2%D0%BB%D0%B5%D0%B2%D0%B8%D1%87"
5,Статистики,Владимир Фёдорович Арнольд,Империя Российская,Херсон,1872,1918,1,"https://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%BD%D0%BE%D0%BB%D1%8C%D0%B4,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%A4%D1%91%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
6,Статистики,Александр Иванович Артемьев,Империя Российская Хвалынск Саратовская губерния,Санкт-Петербург империя Российская,1820-10-24,1874-09-29,18,"https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%82%D0%B5%D0%BC%D1%8C%D0%B5%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
7,Статистики,Николай Михайлович Астырев,Тихвин,Москва,1857,1894,0,"https://ru.wikipedia.org/wiki/%D0%90%D1%81%D1%82%D1%8B%D1%80%D0%B5%D0%B2,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
8,Статистики,Владимир Александрович Ауновский,Империя Вытегра Российская Олонецкая губерния,Российская империя Псков,1835,1875-03-10,0,"https://ru.wikipedia.org/wiki/%D0%90%D1%83%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
9,Статистики,Готфрид Ахенвалль,Варминско-Мазурское воеводство Польша Эльблонг,Брауншвейг-Люнебург Гёттинген,1719-10-20,1772-05-01,7,"https://ru.wikipedia.org/wiki/%D0%90%D1%85%D0%B5%D0%BD%D0%B2%D0%B0%D0%BB%D0%BB%D1%8C,_%D0%93%D0%BE%D1%82%D1%84%D1%80%D0%B8%D0%B4"
