,science,name,birth_place,death_place,birth_date,death_date,age,works,link
0,Физики,Игорь Васильевич Абаренков,СССР Россия Россия СССР,,1931-05-13,,88.0,1,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D1%80%D0%B5%D0%BD%D0%BA%D0%BE%D0%B2,_%D0%98%D0%B3%D0%BE%D1%80%D1%8C_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
1,Физики,Джавад Шахвалед оглы Абдинов,Ордубадский район Нахичеванская ССР АССР Азербайджанская,,1940,,80.0,8,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D0%B8%D0%BD%D0%BE%D0%B2,_%D0%94%D0%B6%D0%B0%D0%B2%D0%B0%D0%B4_%D0%A8%D0%B0%D1%85%D0%B2%D0%B0%D0%BB%D0%B5%D0%B4_%D0%BE%D0%B3%D0%BB%D1%8B"
2,Физики,Абдул Кадыр Хан,Индия Бхопал империя Британская,,1936-04-01,,83.0,0,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D1%83%D0%BB_%D0%9A%D0%B0%D0%B4%D1%8B%D1%80_%D0%A5%D0%B0%D0%BD
3,Физики,Гасан Мамедбагир оглы Абдуллаев,Джульфинский район Демократической АР Азербайджанской Нахичеванской Яйджи Республики,Азербайджан Баку,1918-08-20,1993-09-01,75.0,29,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%BB%D0%B0%D0%B5%D0%B2,_%D0%93%D0%B0%D1%81%D0%B0%D0%BD_%D0%9C%D0%B0%D0%BC%D0%B5%D0%B4%D0%B1%D0%B0%D0%B3%D0%B8%D1%80_%D0%BE%D0%B3%D0%BB%D1%8B"
4,Физики,Фатхулла Хабибуллаевич Абдуллаев,ССР Ташкент СССР Узбекская,,1948-01-14,,71.0,19,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%BB%D0%B0%D0%B5%D0%B2,_%D0%A4%D0%B0%D1%82%D1%85%D1%83%D0%BB%D0%BB%D0%B0_%D0%A5%D0%B0%D0%B1%D0%B8%D0%B1%D1%83%D0%BB%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
5,Физики,Ильдар Шаукатович Абдуллин,РСФСР Казань СССР,,1954-03-03,,65.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%BB%D0%B8%D0%BD,_%D0%98%D0%BB%D1%8C%D0%B4%D0%B0%D1%80_%D0%A8%D0%B0%D1%83%D0%BA%D0%B0%D1%82%D0%BE%D0%B2%D0%B8%D1%87"
6,Физики,Анатоль Абрагам,Губерния Курляндская империя Российская Грива,Париж Франция,1914-12-15,2011-06-08,96.0,6,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%B3%D0%B0%D0%BC,_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%8C"
7,Физики,Дмитрий Иванович Абрамов,РСФСР Ленинград СССР,РСФСР Ленинград СССР,1947,2012-02-11,65.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2,_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
8,Физики,Евгений Арамович Абрамян,ЗСФСР Тбилиси СССР,Москва Россия,1930,2014-12-23,84.0,14,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D1%8F%D0%BD,_%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9_%D0%90%D1%80%D0%B0%D0%BC%D0%BE%D0%B2%D0%B8%D1%87"
9,Физики,"Амедео Авогадро, граф Куаренья и Черрето",,,1776-08-09,1856-07-09,79.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%BE%D0%B3%D0%B0%D0%B4%D1%80%D0%BE,_%D0%90%D0%BC%D0%B5%D0%B4%D0%B5%D0%BE"
10,Физики,Юрий Николаевич Авсюк,РСФСР Москва СССР,Федерация Москва Российская,1934-07-29,2017-06-25,82.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D1%81%D1%8E%D0%BA,_%D0%AE%D1%80%D0%B8%D0%B9_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
11,Физики,Майна Аганагич,,,,,,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D0%BD%D0%B0%D0%B3%D0%B8%D1%87,_%D0%9C%D0%B0%D0%B9%D0%BD%D0%B0"
12,Физики,Константин Игоревич Агладзе,"СССР, Россия",,1955-07-11,,64.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%BB%D0%B0%D0%B4%D0%B7%D0%B5,_%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD_%D0%98%D0%B3%D0%BE%D1%80%D0%B5%D0%B2%D0%B8%D1%87"
