,science,name,birth_place,death_place,birth_date,death_date,works,link
0,Филологи,Абд аль-Кахир аль-Джурджани,Персия Горган,Персия Горган,,1078,14,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4_%D0%B0%D0%BB%D1%8C-%D0%9A%D0%B0%D1%85%D0%B8%D1%80_%D0%B0%D0%BB%D1%8C-%D0%94%D0%B6%D1%83%D1%80%D0%B4%D0%B6%D0%B0%D0%BD%D0%B8
1,Филологи,Зара Абдуллаева,Баку АзССР СССР,,1953,,16,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%BB%D0%B0%D0%B5%D0%B2%D0%B0,_%D0%97%D0%B0%D1%80%D0%B0_%D0%9A%D0%B5%D0%BC%D0%B0%D0%BB%D0%BE%D0%B2%D0%BD%D0%B0"
2,Филологи,Бернгард Рудольф Абекен,Оснабрюк,Оснабрюк,1780,1866-02-24,5,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B5%D0%BA%D0%B5%D0%BD,_%D0%91%D0%B5%D1%80%D0%BD%D0%B3%D0%B0%D1%80%D0%B4_%D0%A0%D1%83%D0%B4%D0%BE%D0%BB%D1%8C%D1%84"
3,Филологи,Рудольф Абихт,Повят Польша Намыслув Намыслувский Опольское воеводство,Нижняя Силезия государство Свободное Бреслау республика Веймарская Пруссия,1850-08-09,1921-02-12,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B8%D1%85%D1%82,_%D0%A0%D1%83%D0%B4%D0%BE%D0%BB%D1%8C%D1%84"
4,Филологи,Зигмунт Абрагамович,Залуква Польская Республика,Польша Варшава,1923-02-20,1990-12-13,9,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%B3%D0%B0%D0%BC%D0%BE%D0%B2%D0%B8%D1%87,_%D0%97%D0%B8%D0%B3%D0%BC%D1%83%D0%BD%D1%82"
5,Филологи,Григорий Львович Абрамович,Губерния уезд Российская империя Елецкий Орловская Елец,Москва,1903-10-26,1979,8,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2%D0%B8%D1%87,_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D0%B8%D0%B9_%D0%9B%D1%8C%D0%B2%D0%BE%D0%B2%D0%B8%D1%87"
6,Филологи,Дмитрий Иванович Абрамович,Губерния Луцкий Волынская уезд,Вильнюс,1873,1955,14,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2%D0%B8%D1%87,_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
7,Филологи,Абу Али аль-Фариси,Персия Феса Фарс,Багдад,900,987,8,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%83_%D0%90%D0%BB%D0%B8_%D0%B0%D0%BB%D1%8C-%D0%A4%D0%B0%D1%80%D0%B8%D1%81%D0%B8
8,Филологи,Абу Убайда,Ирак Басра,Ирак Басра,728,825,0,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%83_%D0%A3%D0%B1%D0%B0%D0%B9%D0%B4%D0%B0
9,Филологи,Любовь Алексеевна Абукаева,Башкирская район СССР АССР РСФСР Мишкинский,,1969-12-25,,1,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%83%D0%BA%D0%B0%D0%B5%D0%B2%D0%B0,_%D0%9B%D1%8E%D0%B1%D0%BE%D0%B2%D1%8C_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BD%D0%B0"
10,Филологи,Луи Авад,Эль-Минья,Египет Каир,1915-01-05,1990-09-09,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B0%D0%B4,_%D0%9B%D1%83%D0%B8"
11,Филологи,Сергей Сергеевич Аверинцев,Москва СССР РСФСР,Австрия Вена,1937-12-10,2004-02-21,62,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B5%D1%80%D0%B8%D0%BD%D1%86%D0%B5%D0%B2,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
12,Филологи,Люсьен Адам,Нанси,Ренн,1833-05-31,1918,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D0%B0%D0%BC,_%D0%9B%D1%8E%D1%81%D1%8C%D0%B5%D0%BD"
13,Филологи,Антон Адамович,Губерния Российская империя Минская Минск,Нью-Йорк США,1909-06-26,1998-06-12,7,"https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D0%B0%D0%BC%D0%BE%D0%B2%D0%B8%D1%87,_%D0%90%D0%BD%D1%82%D0%BE%D0%BD_%D0%95%D0%B2%D1%81%D1%82%D0%B0%D1%84%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
14,Филологи,Светлана Борисовна Адоньева,Ленинград СССР РСФСР,,1963-02-14,,21,"https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D0%BE%D0%BD%D1%8C%D0%B5%D0%B2%D0%B0,_%D0%A1%D0%B2%D0%B5%D1%82%D0%BB%D0%B0%D0%BD%D0%B0_%D0%91%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2%D0%BD%D0%B0"
15,Филологи,Наталия Михайловна Азарова,Москва СССР,,1956-09-23,,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B7%D0%B0%D1%80%D0%BE%D0%B2%D0%B0,_%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D0%B8%D1%8F_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%BD%D0%B0"
16,Филологи,Ирина Александровна Айзикова(Алексеева),СССР Томск,,1958,,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B9%D0%B7%D0%B8%D0%BA%D0%BE%D0%B2%D0%B0,_%D0%98%D1%80%D0%B8%D0%BD%D0%B0_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%BD%D0%B0"
17,Филологи,Альберто Аккаризио,Ченто,Ченто,1497,1544,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%BA%D0%BA%D0%B0%D1%80%D0%B8%D0%B7%D0%B8%D0%BE,_%D0%90%D0%BB%D1%8C%D0%B1%D0%B5%D1%80%D1%82%D0%BE"
18,Филологи,Рубен Карапетович Акопян,Армянская ССР Гавар,,1955-12-17,,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%BA%D0%BE%D0%BF%D1%8F%D0%BD,_%D0%A0%D1%83%D0%B1%D0%B5%D0%BD_%D0%9A%D0%B0%D1%80%D0%B0%D0%BF%D0%B5%D1%82%D0%BE%D0%B2%D0%B8%D1%87"
19,Филологи,Ежи Аксер,Польша Польша,,1946-04-18,,15,"https://ru.wikipedia.org/wiki/%D0%90%D0%BA%D1%81%D0%B5%D1%80,_%D0%95%D0%B6%D0%B8"
20,Филологи,Валерий Акуленко,Харьков,Харьков,1925-07-25,2007-07-20,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%BA%D1%83%D0%BB%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D0%B8%D0%B9_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
21,Филологи,Анатолий Алексеевич Алексеев,Пятигорск СССР,,1941-12-13,,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2,_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D0%B8%D0%B9_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87_(%D1%84%D0%B8%D0%BB%D0%BE%D0%BB%D0%BE%D0%B3)"
22,Филологи,Василий Алексеевич Алексеев,Империя Российская,Империя Российская,1863-04-13,1919,5,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2,_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D0%B8%D0%B9_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
23,Филологи,Дмитрий Иванович Алексеев,СССР РСФСР,СССР РСФСР,1918-11-10,1988-03-28,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2,_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
24,Филологи,Михаил Павлович Алексеев,Киев империя Российская,Ленинград СССР РСФСР,1896,1981-09-19,4,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
25,Филологи,Светлана Аллилуева,Ленинград СССР,Висконсин США,1926-02-28,2011-11-22,14,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%BB%D0%B8%D0%BB%D1%83%D0%B5%D0%B2%D0%B0,_%D0%A1%D0%B2%D0%B5%D1%82%D0%BB%D0%B0%D0%BD%D0%B0_%D0%98%D0%BE%D1%81%D0%B8%D1%84%D0%BE%D0%B2%D0%BD%D0%B0"
26,Филологи,Христиан Вильгельм Альвардт,Грайфсвальд,Грайфсвальд,1760-12-23,1830-04-12,6,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D1%8C%D0%B2%D0%B0%D1%80%D0%B4%D1%82,_%D0%A5%D1%80%D0%B8%D1%81%D1%82%D0%B8%D0%B0%D0%BD_%D0%92%D0%B8%D0%BB%D1%8C%D0%B3%D0%B5%D0%BB%D1%8C%D0%BC"
27,Филологи,Карл Август Альквист,Великое княжество Куопио Финляндское,Великое княжество Гельсингфорс Финляндское,1826,1889-11-20,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D1%8C%D0%BA%D0%B2%D0%B8%D1%81%D1%82,_%D0%90%D0%B2%D0%B3%D1%83%D1%81%D1%82"
28,Филологи,Франц Карл Альтер,Швейцария Энгельберг Обвальден,Вена,1749-01-27,1804-03-29,6,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D1%8C%D1%82%D0%B5%D1%80,_%D0%A4%D1%80%D0%B0%D0%BD%D1%86_%D0%9A%D0%B0%D1%80%D0%BB"
29,Филологи,"Аманшаев, Ермек Амирханович",Район СССР ССР Казахская Мактааральский,,1963-03-12,,12,"https://ru.wikipedia.org/wiki/%D0%90%D0%BC%D0%B0%D0%BD%D1%88%D0%B0%D0%B5%D0%B2,_%D0%95%D1%80%D0%BC%D0%B5%D0%BA_%D0%90%D0%BC%D0%B8%D1%80%D1%85%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
30,Филологи,Эудженио Амато,,,1974,,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%BC%D0%B0%D1%82%D0%BE,_%D0%AD%D1%83%D0%B4%D0%B6%D0%B5%D0%BD%D0%B8%D0%BE"
