,science,name,birth_place,death_place,birth_date,death_date,age,works,link
0,Философы,Аарон (Аарун),Александрия,Александрия,622,690,68.0,0,https://ru.wikipedia.org/wiki/%D0%90%D0%B0%D1%80%D0%BE%D0%BD_(%D0%B2%D1%80%D0%B0%D1%87)
1,Философы,Аарон Старший га-Рофе бен Иосеф,Судак,Константинополь Византия,1260,1320,60.0,0,https://ru.wikipedia.org/wiki/%D0%90%D0%B0%D1%80%D0%BE%D0%BD_%D0%A1%D1%82%D0%B0%D1%80%D1%88%D0%B8%D0%B9_%D0%B3%D0%B0-%D0%A0%D0%BE%D1%84%D0%B5_%D0%B1%D0%B5%D0%BD_%D0%98%D0%BE%D1%81%D0%B5%D1%84
2,Философы,Ричард Аарон,Порт-Толбот Великобритания Уэльс — Нит,Великобритания Уэльс Аберистуит,1901-11-06,1987-03-29,85.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B0%D1%80%D0%BE%D0%BD,_%D0%A0%D0%B8%D1%87%D0%B0%D1%80%D0%B4"
3,Философы,Никола Аббаньяно,Салерно Кампания Италия,Италия Милан,1901-07-15,1990-09-09,89.0,24,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B1%D0%B0%D0%BD%D1%8C%D1%8F%D0%BD%D0%BE,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0"
4,Философы,Томас Аббт,Римская Священная,Римская Священная,1738-11-25,1766-11-03,27.0,6,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B1%D1%82,_%D0%A2%D0%BE%D0%BC%D0%B0%D1%81"
5,Философы,Абд ар-Рахман Бадави,Египет,Египет Каир,1917,2002-07-25,85.0,0,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4_%D0%B0%D1%80-%D0%A0%D0%B0%D1%85%D0%BC%D0%B0%D0%BD_%D0%91%D0%B0%D0%B4%D0%B0%D0%B2%D0%B8
6,Философы,Абд-ру-шин(Оскар Эрнст Бернхардт),Германия Бишофсверда,Альтенберга Германия,1875-04-18,1941,66.0,5,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4-%D1%80%D1%83-%D1%88%D0%B8%D0%BD
7,Философы,Рифгат Фаизович Абдеев,Район СССР Башкирская Кармаскалинский Бузовьязы Советская Республика,Россия Королёв,1926-12-22,2019,93.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D0%B5%D0%B5%D0%B2,_%D0%A0%D0%B8%D1%84%D0%B3%D0%B0%D1%82_%D0%A4%D0%B0%D0%B8%D0%B7%D0%BE%D0%B2%D0%B8%D1%87"
8,Философы,Абдулкадир Инан,Кунашакский губернии Верхнеуральского район области Челябинской Уфимской уезда,Турция Стамбул,1889-10-29,1976-07-26,86.0,0,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%BA%D0%B0%D0%B4%D0%B8%D1%80_%D0%98%D0%BD%D0%B0%D0%BD
9,Философы,Абдулла Джевдет,Турция Арапгир Малатья,Турция Стамбул,1869,1932-11-29,63.0,0,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%BB%D0%B0_%D0%94%D0%B6%D0%B5%D0%B2%D0%B4%D0%B5%D1%82
