,science,name,birth_place,death_place,birth_date,death_date,works,link
0,Химики,Артём Михайлович Абакумов,Тула,,1969-06-30,,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D0%BA%D1%83%D0%BC%D0%BE%D0%B2,_%D0%90%D1%80%D1%82%D1%91%D0%BC_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
1,Химики,Глеб Арсентьевич Абакумов,Чувашская Ядрин СССР АССР,Нижний Новгород Россия,1937-09-30,2019-08-29,3,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D0%BA%D1%83%D0%BC%D0%BE%D0%B2,_%D0%93%D0%BB%D0%B5%D0%B1_%D0%90%D1%80%D1%81%D0%B5%D0%BD%D1%82%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
2,Химики,Дмитрий Николаевич Абашев,Российская империя Смоленская губерния,Империя Российская Херсонская Одесса губерния,1829,1880,6,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D1%88%D0%B5%D0%B2,_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
3,Химики,Фредерик Август Абель,Лондон Великобритания,Лондон Великобритания,1827-07-17,1902-09-06,6,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B5%D0%BB%D1%8C,_%D0%A4%D1%80%D0%B5%D0%B4%D0%B5%D1%80%D0%B8%D0%BA_%D0%90%D0%B2%D0%B3%D1%83%D1%81%D1%82"
4,Химики,Абрам Давыдович Абкин,Полоцк,Москва,1903,1983-02-19,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%BA%D0%B8%D0%BD,_%D0%90%D0%B1%D1%80%D0%B0%D0%BC_%D0%94%D0%B0%D0%B2%D1%8B%D0%B4%D0%BE%D0%B2%D0%B8%D1%87"
5,Химики,Ибрагим Абулиш,Маштуль-эс-Сук Египет,Каир Египет,1937-03-23,2017-06-15,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%83%D0%BB%D0%B8%D1%88,_%D0%98%D0%B1%D1%80%D0%B0%D0%B3%D0%B8%D0%BC"
6,Химики,Азад Зияд оглу Абышев,Билясувар СССР ССР ЗСФСР Азербайджанская,,1935-05-15,,5,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%8B%D1%88%D0%B5%D0%B2,_%D0%90%D0%B7%D0%B0%D0%B4_%D0%97%D0%B8%D1%8F%D0%B4_%D0%BE%D0%B3%D0%BB%D1%83"
7,Химики,Иван Васильевич Авдеев,Империя Российская,Империя Российская,1818,1865-03-29,2,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B4%D0%B5%D0%B5%D0%B2,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
8,Химики,"Амедео Авогадро, граф Куаренья и Черрето",Королевство Сардинское,Италия,1776-08-09,1856-07-09,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%BE%D0%B3%D0%B0%D0%B4%D1%80%D0%BE,_%D0%90%D0%BC%D0%B5%D0%B4%D0%B5%D0%BE"
9,Химики,Яков Давидович Аврасин,Империя Российская,Империя Российская,1905-10-18,1994-11-18,11,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D1%80%D0%B0%D1%81%D0%B8%D0%BD,_%D0%AF%D0%BA%D0%BE%D0%B2_%D0%94%D0%B0%D0%B2%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87"
