,science,name,birth_place,death_place,birth_date,death_date,age,works,link
0,Экономисты,Сэм Ааронович,Лондон,Лондон,1919-12-26,1998-05-30,78.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B0%D1%80%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,_%D0%A1%D1%8D%D0%BC"
1,Экономисты,Диего Абад де Сантильян,Рейеро Испания,Барселона,1897-05-20,1983-10-18,86.0,25,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D0%B4_%D0%B4%D0%B5_%D0%A1%D0%B0%D0%BD%D1%82%D0%B8%D0%BB%D1%8C%D1%8F%D0%BD,_%D0%94%D0%B8%D0%B5%D0%B3%D0%BE"
2,Экономисты,Леонид Иванович Абалкин,РСФСР Москва СССР,Федерация Москва Российская,1930,2011,81.0,15,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D0%BB%D0%BA%D0%B8%D0%BD,_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
3,Экономисты,Тулеубек Абдикадирович Абдикадиров,Таджикская район область ССР Ленинабадская Гиссарский,Таджикская район область ССР Ленинабадская Гиссарский,1940,2009,69.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D0%B8%D0%BA%D0%B0%D0%B4%D0%B8%D1%80%D0%BE%D0%B2,_%D0%A2%D1%83%D0%BB%D0%B5%D1%83%D0%B1%D0%B5%D0%BA_%D0%90%D0%B1%D0%B4%D0%B8%D0%BA%D0%B0%D0%B4%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
4,Экономисты,Талгатбек Абдрахманович Абдразаков,Область) Жамбылский (Северо-Казахстанская район,Область) Жамбылский (Северо-Казахстанская район,1920-03-23,2015,95.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D1%80%D0%B0%D0%B7%D0%B0%D0%BA%D0%BE%D0%B2,_%D0%A2%D0%B0%D0%BB%D0%B3%D0%B0%D1%82%D0%B1%D0%B5%D0%BA_%D0%90%D0%B1%D0%B4%D1%80%D0%B0%D1%85%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
5,Экономисты,Станислав Николаевич Абдрафиков,Челябинская область Челябинск Пласт,,1950-11-10,,69.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D1%80%D0%B0%D1%84%D0%B8%D0%BA%D0%BE%D0%B2,_%D0%A1%D1%82%D0%B0%D0%BD%D0%B8%D1%81%D0%BB%D0%B0%D0%B2_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
6,Экономисты,Калык Абдуллаевич Абдуллаев,Район СССР область ССР Ленгерский Южно-Казахстанская Каскасу Казахская,,1942-06-28,,77.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%BB%D0%B0%D0%B5%D0%B2,_%D0%9A%D0%B0%D0%BB%D1%8B%D0%BA_%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
7,Экономисты,Ширзад Эйюб оглы Абдуллаев,Район СССР Агдашский ССР Азербайджанская,,1970-10-16,,49.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%BB%D0%B0%D0%B5%D0%B2,_%D0%A8%D0%B8%D1%80%D0%B7%D0%B0%D0%B4_%D0%AD%D0%B9%D1%8E%D0%B1_%D0%BE%D0%B3%D0%BB%D1%8B"
8,Экономисты,Вахит Абдуллинович Абдуллин,Тельманский область Карагандинская район,Алма-Ата,1914-06-20,1990-04-12,75.0,3,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%BB%D0%B8%D0%BD,_%D0%92%D0%B0%D1%85%D0%B8%D1%82_%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%BB%D0%B8%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
9,Экономисты,"Абдыкаримов, Болат Абдыкаримович",Район СССР область ССР Карагандинская Киевка Нуринский Казахская,Астана Казахстан,1939-02-17,2014,75.0,1,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D1%8B%D0%BA%D0%B0%D1%80%D0%B8%D0%BC%D0%BE%D0%B2,_%D0%91%D0%BE%D0%BB%D0%B0%D1%82_%D0%90%D0%B1%D0%B4%D1%8B%D0%BA%D0%B0%D1%80%D0%B8%D0%BC%D0%BE%D0%B2%D0%B8%D1%87"
